2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav14.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav15.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav2.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav3.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav4.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav5.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav6.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav7.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav8.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav9.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav10.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav11.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav12.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav13.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
2000.0 2026-08-09 19:38:31 WARNING RED.Plane.AEW.white_uav1.RadarWithGuider.RadarWithGuider[1]的状态在执行[WORK]状态动作时变为了[FREE], 建议尽量避免该种情况
