seed,w5_clean,cand_clean,w5_brk,cand_brk,w5_defeat,cand_defeat,w5_loss,cand_loss,w5_res,cand_res
8101,1,1,0,0,0,0,5,1,18753.0,19617.0
8102,1,0,0,1,0,0,4,6,16630.0,40227.0
8103,1,1,0,0,0,0,3,2,15931.0,16984.0
8104,1,1,0,0,0,0,2,4,35352.0,25921.0
8105,0,1,0,0,1,0,5,5,30047.0,18170.0
8106,1,0,0,1,0,0,6,2,45700.0,38153.0
8107,1,1,0,0,0,0,2,4,24311.0,22151.0
8108,1,0,0,1,0,0,3,3,25980.0,34810.0
8109,1,0,0,1,0,0,6,2,19740.0,36134.0
8110,1,0,0,1,0,0,4,3,17038.0,35876.0
8111,1,0,0,1,0,0,4,2,23203.0,36243.0
8112,1,0,0,1,0,0,2,4,36470.0,42099.0
8113,1,1,0,0,0,0,1,2,19171.0,23453.0
8114,0,1,1,0,0,0,4,6,38160.0,20434.0
8115,0,1,1,0,0,0,3,1,41194.0,14685.0
8116,1,1,0,0,0,0,7,7,44066.0,23418.0
8117,1,0,0,1,0,0,3,4,26099.0,44542.0
8118,0,1,1,0,0,0,4,0,33502.0,20474.0
8119,1,0,0,1,0,0,4,1,25551.0,39435.0
8120,1,1,0,0,0,0,3,3,15704.0,15645.0
8121,1,1,0,0,0,0,6,3,17644.0,21373.0
8122,1,1,0,0,0,0,2,3,20052.0,16962.0
8123,1,0,0,1,0,1,3,7,16265.0,29219.0
8124,1,0,0,1,0,0,3,4,17168.0,40651.0
8125,0,1,1,0,0,0,5,3,35379.0,20852.0
8126,1,1,0,0,0,0,8,3,26375.0,23007.0
8127,1,1,0,0,0,0,2,4,17936.0,14312.0
8128,0,1,1,0,0,0,3,1,26024.0,18129.0
8129,0,1,2,0,0,0,3,2,32923.0,15485.0
8130,0,1,1,0,1,0,7,5,34386.0,19963.0
