experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8101,10,10,20,0,Result.Victory,1,1,clean,19617.0,321.1,9,1,10,0,1,20,20,0,0,0,0,0,108250.0,0.56,182250.0,387950.0,20,20,1.0346,4.8,,57061.0,1862,7404,8311,19617.0,,,,,,3,54,24,40,460,171,164,756,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8102,10,10,20,0,Result.Victory,1,0,C_breakthrough,40227.0,405.7,4,6,0,10,16,19,19,0,0,1,0,0,92375.0,0.4779,173800.0,391850.0,19,19,0.9288,4.8,,61858.0,1848,7514,8425,40227.0,,,,,,7,52,24,38,441,173,162,1364,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8103,10,10,20,0,Result.Victory,1,1,clean,16984.0,299.5,8,2,10,0,2,20,20,0,0,0,0,0,77925.0,0.4031,180850.0,268400.0,20,20,0.9791,4.7,,50728.0,1843,7406,8349,16984.0,,,,,,1,52,23,40,611,233,202,771,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8104,10,10,20,0,Result.Victory,1,1,clean,25921.0,351.0,6,4,0,10,14,20,20,0,0,0,0,0,126100.0,0.6523,174050.0,445450.0,20,20,1.1498,4.9,,57602.0,1864,7400,8292,25921.0,,,,,,5,44,15,40,597,244,194,1319,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8105,10,10,20,0,Result.Victory,1,1,clean,18170.0,291.0,5,5,10,0,5,20,19,0,1,0,0,0,76825.0,0.3974,157775.0,292050.0,20,20,0.9403,4.6,,52975.0,1842,7390,8278,18170.0,,,,,,0,44,15,39,609,238,185,804,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8106,10,10,20,0,Result.Victory,1,0,C_breakthrough,38153.0,419.4,8,2,0,10,12,19,20,0,1,1,0,0,108225.0,0.5599,198100.0,475900.0,20,19,1.1442,4.8,,61700.0,1854,7383,8283,38153.0,,,,,,9,45,16,38,479,168,156,613,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8107,10,10,20,0,Result.Victory,1,1,clean,22151.0,343.5,6,4,10,0,4,20,20,0,0,0,0,0,101650.0,0.5259,170175.0,387275.0,20,20,1.0479,4.7,,53538.0,1861,7404,8313,22151.0,,,,,,5,51,22,40,518,215,164,1112,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8108,10,10,20,0,Result.Victory,1,0,C_breakthrough,34810.0,400.4,7,3,0,10,13,19,20,0,1,1,0,0,111100.0,0.5748,188000.0,419900.0,20,19,1.1558,4.9,,56973.0,1856,7379,8272,34810.0,,,,,,9,49,21,38,617,237,188,1258,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8109,10,10,20,0,Result.Victory,1,0,C_breakthrough,36134.0,410.7,8,2,0,10,12,19,20,0,1,1,0,0,105775.0,0.5472,209075.0,425750.0,20,19,1.1335,4.9,,61522.0,1855,7391,8368,36134.0,,,,,,8,47,18,38,541,208,175,1334,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8110,10,10,20,0,Result.Victory,1,0,C_breakthrough,35876.0,400.2,7,3,0,10,13,19,20,0,1,1,0,0,97500.0,0.5044,182950.0,391625.0,20,19,1.1648,4.8,,54689.0,1849,7432,8331,35876.0,,,,,,11,47,18,38,819,265,216,1343,0,0
