experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8101,10,10,20,0,Result.Victory,1,1,clean,18753.0,702.4,5,5,10,0,5,20,20,0,0,0,0,0,97275.0,0.5032,154275.0,392475.0,20,20,0.8469,4.6,,47350.0,1844,7516,8432,18753.0,,,,,,1,60,30,40,1077,326,294,1109,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8102,10,10,20,0,Result.Victory,1,1,clean,16630.0,668.4,6,4,10,0,4,20,20,0,0,0,0,0,92750.0,0.4798,163700.0,303900.0,20,20,0.9558,4.4,,49926.0,1849,7376,8311,16630.0,,,,,,2,59,29,40,533,197,186,710,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8103,10,10,20,0,Result.Victory,1,1,clean,15931.0,636.4,7,3,10,0,3,20,20,0,0,0,0,0,93175.0,0.482,166775.0,291675.0,20,20,0.9644,4.6,,53879.0,1846,7404,8358,15931.0,,,,,,1,45,15,40,579,210,179,840,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8104,10,10,20,0,Result.Victory,1,1,clean,35352.0,897.3,8,2,0,10,12,20,19,0,1,0,0,0,130575.0,0.6755,198125.0,484000.0,20,19,1.0915,4.7,,57312.0,1854,7402,8302,35352.0,,,,,,8,49,20,38,591,210,195,1210,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8105,10,10,20,0,Result.Defeat,0,0,B_lost_track_reacquire,30047.0,848.0,5,5,0,10,15,19,18,1,1,0,0,0,109050.0,0.5641,176750.0,462475.0,20,18,1.0394,4.6,,55526.0,1838,7361,8283,30047.0,,,,,,7,51,23,36,628,225,175,1193,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8106,10,10,20,0,Result.Victory,1,1,clean,45700.0,887.5,4,6,0,10,16,20,19,0,1,0,0,0,92700.0,0.4796,169275.0,416000.0,20,19,0.9553,4.8,,58921.0,1840,7398,8316,45700.0,,,,,,5,48,19,38,560,199,190,1106,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8107,10,10,20,0,Result.Victory,1,1,clean,24311.0,786.7,8,2,10,0,2,20,20,0,0,0,0,0,130150.0,0.6733,198475.0,499725.0,20,20,1.0695,4.8,,54477.0,1848,7418,8367,24311.0,,,,,,7,53,23,40,601,254,214,1279,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8108,10,10,20,0,Result.Victory,1,1,clean,25980.0,809.4,7,3,0,10,13,20,20,0,0,0,0,0,112200.0,0.5804,182650.0,487475.0,20,20,1.0542,4.9,,58717.0,1857,7362,8289,25980.0,,,,,,9,43,13,40,566,214,184,1216,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8109,10,10,20,0,Result.Victory,1,1,clean,19740.0,700.3,4,6,10,0,6,20,20,0,0,0,0,0,84650.0,0.4379,162800.0,344825.0,20,20,1.0899,4.7,,58526.0,1845,7530,8529,19740.0,,,,,,0,50,20,40,504,184,168,1087,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8110,10,10,20,0,Result.Victory,1,1,clean,17038.0,632.7,6,4,10,0,4,20,20,0,0,0,0,0,101650.0,0.5259,159525.0,367675.0,20,20,0.973,4.7,,49652.0,1844,7510,8438,17038.0,,,,,,1,51,21,40,656,224,196,915,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8111,10,10,20,0,Result.Victory,1,1,clean,23203.0,750.5,6,4,10,0,4,20,19,0,1,0,0,0,127675.0,0.6605,170550.0,514325.0,20,20,1.0238,4.7,,52149.0,1857,7389,8302,23203.0,,,,,,4,50,21,38,606,223,187,1251,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8112,10,10,20,0,Result.Victory,1,1,clean,36470.0,895.5,8,2,0,10,12,20,19,0,1,0,0,0,117600.0,0.6084,223425.0,431800.0,20,19,1.0807,4.8,,60603.0,1844,7420,8318,36470.0,,,,,,6,53,24,38,466,180,168,1032,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8113,10,10,20,0,Result.Victory,1,1,clean,19171.0,692.8,9,1,10,0,1,20,20,0,0,0,0,0,99425.0,0.5144,208375.0,355050.0,20,20,1.0213,4.8,,57079.0,1854,7385,8297,19171.0,,,,,,3,48,18,40,460,170,162,832,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8114,10,10,20,0,Result.Victory,1,0,C_breakthrough,38160.0,831.0,6,4,0,10,14,19,20,0,1,1,0,0,119825.0,0.6199,190925.0,475825.0,20,19,1.164,4.8,,62611.0,1849,7396,8345,38160.0,,,,,,6,51,22,38,554,200,170,1294,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8115,10,10,20,0,Result.Victory,1,0,C_breakthrough,41194.0,874.1,7,3,0,10,13,19,20,0,1,1,0,0,123900.0,0.641,199100.0,492200.0,20,19,1.0302,4.7,,59847.0,1854,7411,8327,41194.0,,,,,,4,54,26,38,631,228,195,1392,0,0
