class_id,length_bucket,width_bucket,speed_bucket,count,fraction,episode_ids
LENGTH_LOW__WIDTH_LOW__SPEED_LOW,LOW,LOW,LOW,5,0.1786,B0_S2_s7004;B0_S2_s7009;B0_S2_s7102;B0_S2_s7103;B0_S2_s7108
LENGTH_LOW__WIDTH_LOW__SPEED_MID,LOW,LOW,MID,0,0.0,
LENGTH_LOW__WIDTH_LOW__SPEED_HIGH,LOW,LOW,HIGH,0,0.0,
LENGTH_LOW__WIDTH_MID__SPEED_LOW,LOW,MID,LOW,3,0.1071,B0_S2_s7010;B0_S1_s7201;B0_S1_s7203
LENGTH_LOW__WIDTH_MID__SPEED_MID,LOW,MID,MID,0,0.0,
LENGTH_LOW__WIDTH_MID__SPEED_HIGH,LOW,MID,HIGH,0,0.0,
LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,LOW,HIGH,LOW,2,0.0714,B0_S1_s7202;B0_S3_s7203
LENGTH_LOW__WIDTH_HIGH__SPEED_MID,LOW,HIGH,MID,0,0.0,
LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,LOW,HIGH,HIGH,0,0.0,
LENGTH_MID__WIDTH_LOW__SPEED_LOW,MID,LOW,LOW,2,0.0714,B0_S2_s7106;B0_S3_s7204
LENGTH_MID__WIDTH_LOW__SPEED_MID,MID,LOW,MID,0,0.0,
LENGTH_MID__WIDTH_LOW__SPEED_HIGH,MID,LOW,HIGH,0,0.0,
LENGTH_MID__WIDTH_MID__SPEED_LOW,MID,MID,LOW,2,0.0714,B0_S2_s7104;B0_S2_s7110
LENGTH_MID__WIDTH_MID__SPEED_MID,MID,MID,MID,0,0.0,
LENGTH_MID__WIDTH_MID__SPEED_HIGH,MID,MID,HIGH,0,0.0,
LENGTH_MID__WIDTH_HIGH__SPEED_LOW,MID,HIGH,LOW,5,0.1786,B0_S2_s7006;B0_S2_s7101;B0_S2_s7109;B0_S3_s7202;B0_S3_s7205
LENGTH_MID__WIDTH_HIGH__SPEED_MID,MID,HIGH,MID,0,0.0,
LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,MID,HIGH,HIGH,0,0.0,
LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,HIGH,LOW,LOW,3,0.1071,B0_S2_s7008;B0_S1_s7204;B0_S1_s7205
LENGTH_HIGH__WIDTH_LOW__SPEED_MID,HIGH,LOW,MID,0,0.0,
LENGTH_HIGH__WIDTH_LOW__SPEED_HIGH,HIGH,LOW,HIGH,0,0.0,
LENGTH_HIGH__WIDTH_MID__SPEED_LOW,HIGH,MID,LOW,4,0.1429,B0_S2_s7001;B0_S2_s7002;B0_S2_s7105;B0_S3_s7201
LENGTH_HIGH__WIDTH_MID__SPEED_MID,HIGH,MID,MID,0,0.0,
LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,HIGH,MID,HIGH,0,0.0,
LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,HIGH,HIGH,LOW,2,0.0714,B0_S2_s7005;B0_S2_s7007
LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,HIGH,HIGH,MID,0,0.0,
LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,HIGH,HIGH,HIGH,0,0.0,
