episode_id,seed,source,trace_hash,formation_length,length_bucket,formation_width,width_bucket,formation_speed,speed_bucket,class_id,classification_method,valid
B0_S2_s7001,7001,calibration_B0,61909a7f4cc46a8b,61870.5,HIGH,4390.8,MID,10.0,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S2_s7002,7002,calibration_B0,399ad7861a25b0cb,66427.0,HIGH,4365.8,MID,10.0,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S2_s7004,7004,calibration_B0,ee28531afa3eda72,53020.3,LOW,3691.1,LOW,10.0,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7005,7005,calibration_B0,a5293ec119b51802,72329.6,HIGH,6301.4,HIGH,10.0,LOW,LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S2_s7006,7006,calibration_B0,683cbe2cb5cf9d9a,61805.2,MID,6225.3,HIGH,10.0,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S2_s7007,7007,calibration_B0,5f18d054161b6843,66036.0,HIGH,9433.7,HIGH,9.978,LOW,LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S2_s7008,7008,calibration_B0,fa737b4fff422817,65139.7,HIGH,3007.7,LOW,10.0,LOW,LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7009,7009,calibration_B0,32426f4e685ec99c,53919.5,LOW,3719.0,LOW,10.0,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7010,7010,calibration_B0,d271a2d6e91096b2,40054.7,LOW,5071.6,MID,10.0,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S2_s7101,7101,fresh_b0,11a345e1dfa13b73,57289.3,MID,6384.4,HIGH,10.0,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S2_s7102,7102,fresh_b0,34a061db00494339,51272.6,LOW,3338.1,LOW,10.0,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7103,7103,fresh_b0,ce707eada5bb5e8e,51649.1,LOW,2575.7,LOW,10.0,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7104,7104,fresh_b0,5abe16f319e9f4fe,61688.1,MID,4004.2,MID,10.0,LOW,LENGTH_MID__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S2_s7105,7105,fresh_b0,d91d3412615e7823,67964.5,HIGH,5414.1,MID,10.0,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S2_s7106,7106,fresh_b0,ab3685ccd9888b06,56154.5,MID,2726.8,LOW,10.0,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7108,7108,fresh_b0,42dc0e033444c5e3,52896.3,LOW,2853.1,LOW,10.0,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S2_s7109,7109,fresh_b0,7f2e7304f78d0dcc,60757.4,MID,7306.7,HIGH,10.0,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S2_s7110,7110,fresh_b0,9f37634c207abe17,59356.7,MID,5087.5,MID,10.0,LOW,LENGTH_MID__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S1_s7201,7201,cross_S1_b0,869488ddfc8e0553,53328.5,LOW,4269.9,MID,9.99,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S1_s7202,7202,cross_S1_b0,9e838d375ca7a84b,46304.2,LOW,6976.5,HIGH,9.997,LOW,LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S1_s7203,7203,cross_S1_b0,d2c37607f3ba388a,53674.8,LOW,4127.2,MID,9.99,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S1_s7204,7204,cross_S1_b0,8ba91d16a2ee7315,63684.7,HIGH,2957.3,LOW,9.985,LOW,LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S1_s7205,7205,cross_S1_b0,931d10ae186d5973,71184.5,HIGH,3020.5,LOW,10.0,LOW,LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S3_s7201,7201,cross_S3_b0,08cb232175d0158f,63761.0,HIGH,5181.7,MID,10.0,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0-27class-v1,1
B0_S3_s7202,7202,cross_S3_b0,87e5368a24cb7b7f,59409.4,MID,8424.4,HIGH,10.0,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S3_s7203,7203,cross_S3_b0,19a6413a65dd1108,51041.1,LOW,6108.2,HIGH,10.0,LOW,LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
B0_S3_s7204,7204,cross_S3_b0,4a8fda88de8c0120,56962.0,MID,2632.9,LOW,10.0,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0-27class-v1,1
B0_S3_s7205,7205,cross_S3_b0,6abfff23a300d926,56869.9,MID,5926.2,HIGH,10.0,LOW,LENGTH_MID__WIDTH_HIGH__SPEED_LOW,b0-27class-v1,1
