class_id,length_bucket,width_bucket,speed_bucket,count,fraction,episode_ids
LENGTH_LOW__WIDTH_LOW__SPEED_LOW,LOW,LOW,LOW,4,0.1481,B0V2_S2_s9005;B0V2_S2_s9009;B0V2_S2_s9011;B0V2_S2_s9021
LENGTH_LOW__WIDTH_LOW__SPEED_MID,LOW,LOW,MID,2,0.0741,B0V2_S2_s9007;B0V2_S2_s9017
LENGTH_LOW__WIDTH_LOW__SPEED_HIGH,LOW,LOW,HIGH,0,0.0,
LENGTH_LOW__WIDTH_MID__SPEED_LOW,LOW,MID,LOW,1,0.037,B0V2_S2_s9002
LENGTH_LOW__WIDTH_MID__SPEED_MID,LOW,MID,MID,0,0.0,
LENGTH_LOW__WIDTH_MID__SPEED_HIGH,LOW,MID,HIGH,1,0.037,B0V2_S2_s9020
LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,LOW,HIGH,LOW,0,0.0,
LENGTH_LOW__WIDTH_HIGH__SPEED_MID,LOW,HIGH,MID,0,0.0,
LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,LOW,HIGH,HIGH,1,0.037,B0V2_S2_s9027
LENGTH_MID__WIDTH_LOW__SPEED_LOW,MID,LOW,LOW,1,0.037,B0V2_S2_s9014
LENGTH_MID__WIDTH_LOW__SPEED_MID,MID,LOW,MID,0,0.0,
LENGTH_MID__WIDTH_LOW__SPEED_HIGH,MID,LOW,HIGH,0,0.0,
LENGTH_MID__WIDTH_MID__SPEED_LOW,MID,MID,LOW,0,0.0,
LENGTH_MID__WIDTH_MID__SPEED_MID,MID,MID,MID,2,0.0741,B0V2_S2_s9013;B0V2_S2_s9026
LENGTH_MID__WIDTH_MID__SPEED_HIGH,MID,MID,HIGH,2,0.0741,B0V2_S2_s9003;B0V2_S2_s9012
LENGTH_MID__WIDTH_HIGH__SPEED_LOW,MID,HIGH,LOW,0,0.0,
LENGTH_MID__WIDTH_HIGH__SPEED_MID,MID,HIGH,MID,2,0.0741,B0V2_S2_s9019;B0V2_S2_s9025
LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,MID,HIGH,HIGH,2,0.0741,B0V2_S2_s9001;B0V2_S2_s9008
LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,HIGH,LOW,LOW,2,0.0741,B0V2_S2_s9010;B0V2_S2_s9015
LENGTH_HIGH__WIDTH_LOW__SPEED_MID,HIGH,LOW,MID,0,0.0,
LENGTH_HIGH__WIDTH_LOW__SPEED_HIGH,HIGH,LOW,HIGH,0,0.0,
LENGTH_HIGH__WIDTH_MID__SPEED_LOW,HIGH,MID,LOW,1,0.037,B0V2_S2_s9024
LENGTH_HIGH__WIDTH_MID__SPEED_MID,HIGH,MID,MID,1,0.037,B0V2_S2_s9004
LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,HIGH,MID,HIGH,1,0.037,B0V2_S2_s9022
LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,HIGH,HIGH,LOW,0,0.0,
LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,HIGH,HIGH,MID,2,0.0741,B0V2_S2_s9006;B0V2_S2_s9018
LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,HIGH,HIGH,HIGH,2,0.0741,B0V2_S2_s9016;B0V2_S2_s9023
