class_id,length_bucket,width_bucket,speed_bucket,count,fraction,episode_ids
LENGTH_LOW__WIDTH_LOW__SPEED_LOW,LOW,LOW,LOW,7,0.0778,B0V2_S2_s9005;B0V2_S2_s9009;B0V2_S2_s9011;B0V2_S2_s9021;B0V2_S2_s9064;B0V2_S2_s9069;B0V2_S2_s9075
LENGTH_LOW__WIDTH_LOW__SPEED_MID,LOW,LOW,MID,2,0.0222,B0V2_S2_s9007;B0V2_S2_s9017
LENGTH_LOW__WIDTH_LOW__SPEED_HIGH,LOW,LOW,HIGH,0,0.0,
LENGTH_LOW__WIDTH_MID__SPEED_LOW,LOW,MID,LOW,4,0.0444,B0V2_S2_s9002;B0V2_S2_s9013;B0V2_S2_s9031;B0V2_S2_s9082
LENGTH_LOW__WIDTH_MID__SPEED_MID,LOW,MID,MID,5,0.0556,B0V2_S2_s9032;B0V2_S2_s9045;B0V2_S2_s9066;B0V2_S2_s9067;B0V2_S2_s9079
LENGTH_LOW__WIDTH_MID__SPEED_HIGH,LOW,MID,HIGH,4,0.0444,B0V2_S2_s9020;B0V2_S2_s9035;B0V2_S2_s9043;B0V2_S2_s9076
LENGTH_LOW__WIDTH_HIGH__SPEED_LOW,LOW,HIGH,LOW,1,0.0111,B0V2_S2_s9033
LENGTH_LOW__WIDTH_HIGH__SPEED_MID,LOW,HIGH,MID,3,0.0333,B0V2_S2_s9019;B0V2_S2_s9044;B0V2_S2_s9084
LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,LOW,HIGH,HIGH,4,0.0444,B0V2_S2_s9027;B0V2_S2_s9048;B0V2_S2_s9060;B0V2_S2_s9072
LENGTH_MID__WIDTH_LOW__SPEED_LOW,MID,LOW,LOW,9,0.1,B0V2_S2_s9014;B0V2_S2_s9037;B0V2_S2_s9049;B0V2_S2_s9053;B0V2_S2_s9054;B0V2_S2_s9055;B0V2_S2_s9074;B0V2_S2_s9080;B0V2_S2_s9090
LENGTH_MID__WIDTH_LOW__SPEED_MID,MID,LOW,MID,7,0.0778,B0V2_S2_s9026;B0V2_S2_s9029;B0V2_S2_s9040;B0V2_S2_s9052;B0V2_S2_s9061;B0V2_S2_s9065;B0V2_S2_s9085
LENGTH_MID__WIDTH_LOW__SPEED_HIGH,MID,LOW,HIGH,1,0.0111,B0V2_S2_s9051
LENGTH_MID__WIDTH_MID__SPEED_LOW,MID,MID,LOW,2,0.0222,B0V2_S2_s9068;B0V2_S2_s9089
LENGTH_MID__WIDTH_MID__SPEED_MID,MID,MID,MID,0,0.0,
LENGTH_MID__WIDTH_MID__SPEED_HIGH,MID,MID,HIGH,3,0.0333,B0V2_S2_s9012;B0V2_S2_s9047;B0V2_S2_s9087
LENGTH_MID__WIDTH_HIGH__SPEED_LOW,MID,HIGH,LOW,1,0.0111,B0V2_S2_s9036
LENGTH_MID__WIDTH_HIGH__SPEED_MID,MID,HIGH,MID,3,0.0333,B0V2_S2_s9025;B0V2_S2_s9039;B0V2_S2_s9046
LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,MID,HIGH,HIGH,4,0.0444,B0V2_S2_s9001;B0V2_S2_s9058;B0V2_S2_s9062;B0V2_S2_s9083
LENGTH_HIGH__WIDTH_LOW__SPEED_LOW,HIGH,LOW,LOW,2,0.0222,B0V2_S2_s9010;B0V2_S2_s9015
LENGTH_HIGH__WIDTH_LOW__SPEED_MID,HIGH,LOW,MID,0,0.0,
LENGTH_HIGH__WIDTH_LOW__SPEED_HIGH,HIGH,LOW,HIGH,2,0.0222,B0V2_S2_s9041;B0V2_S2_s9050
LENGTH_HIGH__WIDTH_MID__SPEED_LOW,HIGH,MID,LOW,2,0.0222,B0V2_S2_s9024;B0V2_S2_s9071
LENGTH_HIGH__WIDTH_MID__SPEED_MID,HIGH,MID,MID,3,0.0333,B0V2_S2_s9004;B0V2_S2_s9038;B0V2_S2_s9086
LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,HIGH,MID,HIGH,7,0.0778,B0V2_S2_s9003;B0V2_S2_s9008;B0V2_S2_s9022;B0V2_S2_s9028;B0V2_S2_s9042;B0V2_S2_s9057;B0V2_S2_s9063
LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,HIGH,HIGH,LOW,2,0.0222,B0V2_S2_s9056;B0V2_S2_s9059
LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,HIGH,HIGH,MID,7,0.0778,B0V2_S2_s9006;B0V2_S2_s9018;B0V2_S2_s9023;B0V2_S2_s9030;B0V2_S2_s9070;B0V2_S2_s9081;B0V2_S2_s9088
LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,HIGH,HIGH,HIGH,5,0.0556,B0V2_S2_s9016;B0V2_S2_s9034;B0V2_S2_s9073;B0V2_S2_s9077;B0V2_S2_s9078
