seed,target_speed,actual_speed,length,width,result,clean,breakthrough,loss
9001,9.731,9.731,53985.6,4271.2,Result.Victory,1,0,0
9002,5.375,5.375,42792.7,3019.1,Result.Victory,1,0,9
9003,8.742,8.742,55782.2,3931.0,Result.Victory,1,0,4
9004,6.588,6.588,61444.0,3296.2,Result.Victory,1,0,4
9005,5.402,5.402,44048.3,2257.4,Result.Victory,1,0,3
9006,7.66,7.66,57061.1,4312.9,Result.Victory,1,0,3
9007,7.141,7.141,44968.2,1274.0,Result.Victory,1,0,5
9008,9.999,9.999,56544.5,4031.3,Result.Victory,1,0,6
9009,5.251,5.251,44015.8,1869.2,Result.Victory,1,0,7
9010,5.707,5.707,57322.7,1641.4,Result.Victory,1,0,2
9011,6.009,6.009,45900.2,2795.0,Result.Victory,1,0,6
9012,8.155,8.155,50741.8,2993.5,Result.Victory,1,0,2
9013,6.1,6.1,47605.4,3335.0,Result.Victory,1,0,6
9014,5.493,5.493,50205.1,2154.5,Result.Victory,1,0,4
9015,5.305,5.305,57535.7,2140.0,Result.Victory,1,0,2
9016,9.931,9.931,66758.2,5805.1,Result.Victory,1,0,4
9017,6.762,6.762,45638.6,2336.7,Result.Victory,1,0,6
9018,7.771,7.771,60152.6,5275.1,Result.Victory,1,0,5
9019,7.675,7.675,47723.1,5817.0,Result.Victory,1,0,3
9020,9.796,9.796,45638.9,3093.4,Result.Victory,1,0,2
9021,5.278,5.278,45372.1,1303.0,Result.Victory,1,0,0
9022,9.696,9.696,58427.0,3065.5,Result.Victory,1,0,4
9023,8.078,8.078,67319.3,5852.9,Result.Victory,1,0,7
9024,5.163,5.163,59452.0,2962.2,Result.Victory,1,0,5
9025,6.438,6.438,50683.2,4914.7,Result.Victory,1,0,4
9026,7.477,7.477,49868.3,2862.7,Result.Victory,1,0,5
9027,9.652,9.652,43647.9,7274.8,Result.Victory,1,0,3
9028,9.549,9.549,71447.0,3581.2,Result.Victory,1,0,2
9029,7.009,7.009,52438.1,2561.7,Result.Victory,1,0,5
9030,6.614,6.614,66447.4,5673.2,Result.Victory,1,0,5
9031,6.256,6.256,47933.0,4052.4,Result.Victory,1,0,3
9032,7.57,7.57,47771.5,3932.9,Result.Victory,1,0,2
9033,5.924,5.924,46915.6,4261.7,Result.Victory,1,0,4
9034,9.71,9.71,70036.9,6250.2,Result.Victory,0,1,3
9035,9.772,9.772,39781.5,3521.2,Result.Victory,1,0,4
9036,5.271,5.271,51044.8,4137.1,Result.Victory,1,0,1
9037,5.254,5.254,54969.0,1321.3,Result.Victory,1,0,5
9038,7.865,7.865,58868.3,3584.2,Result.Victory,1,0,2
9039,7.536,7.536,50348.7,5530.7,Result.Victory,1,0,3
9040,7.439,7.439,51933.4,2223.5,Result.Victory,1,0,0
9041,9.227,9.227,63269.7,2716.2,Result.Victory,1,0,5
9042,8.887,8.887,56633.0,3977.8,Result.Victory,1,0,5
9043,9.478,9.478,44373.3,3384.5,Result.Victory,1,0,4
9044,7.508,7.508,42018.7,4458.1,Result.Victory,1,0,3
9045,6.857,6.857,46085.4,3477.5,Result.Victory,1,0,4
9046,7.334,7.334,51863.6,5316.3,Result.Victory,1,0,3
9047,9.479,9.479,55072.4,3604.2,Result.Victory,1,0,2
9048,8.504,8.504,47299.4,4144.4,Result.Victory,1,0,6
9049,6.221,6.221,50928.6,2498.1,Result.Victory,1,0,4
9050,9.869,9.869,60546.2,1955.6,Result.Victory,1,0,1
9051,8.264,8.264,52586.3,2533.7,Result.Victory,1,0,5
9052,6.556,6.556,51662.0,1812.3,Result.Victory,1,0,5
9053,5.029,5.029,53117.4,2558.7,Result.Victory,1,0,3
9054,5.324,5.324,51216.2,2132.1,Result.Victory,1,0,5
9055,5.499,5.499,53218.1,2244.0,Result.Victory,1,0,1
9056,9.894,2.349,60490.0,14645.3,Result.Victory,1,0,9
9057,9.602,9.602,55119.9,2965.5,Result.Victory,1,0,2
9058,9.446,9.446,49180.9,6408.2,Result.Victory,1,0,2
9059,6.152,6.152,58849.6,5256.0,Result.Victory,1,0,4
9060,9.915,9.915,45236.1,4134.5,Result.Victory,1,0,4
9061,7.453,7.453,53508.8,2667.7,Result.Victory,1,0,0
9062,8.928,8.928,53011.5,5239.3,Result.Victory,1,0,5
9063,9.84,9.84,56085.3,3934.2,Result.Victory,1,0,3
9064,6.067,6.067,46685.8,2375.7,Result.Victory,1,0,2
9065,7.948,7.948,50334.1,1711.4,Result.Victory,1,0,0
9066,7.772,7.772,41969.3,3080.0,Result.Victory,1,0,2
9067,7.048,7.048,43555.2,3561.8,Result.Victory,1,0,5
9068,5.467,5.467,52112.0,3623.0,Result.Victory,1,0,6
9069,5.283,5.283,48118.1,2024.3,Result.Victory,1,0,4
9070,8.028,8.028,56309.1,5641.3,Result.Victory,1,0,4
9071,6.138,6.138,57034.2,3716.0,Result.Victory,1,0,2
9072,9.207,9.207,45639.9,6602.8,Result.Victory,1,0,5
9073,8.92,8.92,55424.0,4328.0,Result.Victory,1,0,3
9074,6.112,6.112,52518.0,2305.0,Result.Victory,1,0,4
9075,6.081,6.081,43770.6,1414.6,Result.Victory,1,0,3
9076,8.154,8.154,44386.8,3219.5,Result.Victory,1,0,3
9077,8.977,8.977,66858.3,8296.8,Result.Victory,1,0,2
9078,9.81,9.81,68621.3,5581.6,Result.Victory,1,0,3
9079,6.491,6.491,43374.2,3659.4,Result.Victory,1,0,2
9080,5.35,5.35,54353.9,1747.2,Result.Victory,1,0,5
9081,7.299,7.299,55402.9,5268.1,Result.Victory,1,0,3
9082,5.74,5.74,44868.8,3162.2,Result.Victory,1,0,2
9083,8.55,8.55,49770.1,4961.4,Result.Victory,1,0,3
9084,7.724,7.724,44975.1,4517.2,Result.Victory,1,0,3
9085,7.12,7.12,54039.3,2887.5,Result.Victory,1,0,7
9086,7.957,7.957,62915.4,3361.1,Result.Victory,1,0,2
9087,8.169,8.169,50204.4,3059.1,Result.Victory,1,0,1
9088,7.048,7.048,66498.4,4467.9,Result.Victory,1,0,4
9089,5.9,5.9,48959.9,3931.0,Result.Victory,1,0,5
9090,5.858,5.858,48393.2,2733.1,Result.Victory,1,0,2
