scenario,stage,white_version,black_version,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,result,clean_win,enemy_combat_kills,friendly_usv_dead,breakthrough,explored_area_km2,resolution_time_s,engine_error,api_error,invalid_action,fair_play_violation,rerun_reason,wall_time_s,log_path,prediction_count,intercept_count,handoff_count,successful_handoff_count,handoff_evaluations,track_maintenance_assignments,screen_assignments,screen_evaluations,unique_screen_reconfigurations,unique_intercept_plan_changes,unique_high_risk_transitions,critical_risk_entries,breakthrough_risk_alerts,late_intercept_events,unsafe_close_entries,unsafe_close_duration_steps,reposition_outward_count,min_target_distance_during_pursuit,risk_evaluations,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,b3_calls
S1,Stage0,W5,B0_RANDOM,4001,5,5,10,Result.Victory,1,10.0,2.0,0,45725.0,10746.0,0,0,0,0,,108.6,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4001_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4002,5,5,10,Result.Victory,1,10.0,1.0,0,103225.0,19087.0,0,0,0,0,,193.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4002_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4003,5,5,10,Result.Victory,1,10.0,1.0,0,57600.0,10799.0,0,0,0,0,,109.8,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4003_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4004,5,5,10,Result.Victory,1,10.0,0.0,0,59400.0,11469.0,0,0,0,0,,116.5,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4004_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4005,5,5,10,Result.Victory,1,10.0,2.0,0,52950.0,11819.0,0,0,0,0,,120.2,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4005_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4006,5,5,10,Result.Victory,1,10.0,1.0,0,46175.0,10234.0,0,0,0,0,,104.0,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4006_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4007,5,5,10,Result.Victory,1,10.0,3.0,0,68900.0,16066.0,0,0,0,0,,163.2,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4007_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4008,5,5,10,Result.Victory,1,10.0,1.0,0,43250.0,9623.0,0,0,0,0,,97.3,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4008_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4009,5,5,10,Result.Victory,1,10.0,4.0,0,51525.0,14308.0,0,0,0,0,,144.4,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4009_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,Stage0,W5,B0_RANDOM,4010,5,5,10,Result.Victory,1,10.0,1.0,0,59925.0,11113.0,0,0,0,0,,112.3,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4010_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
