scenario,stage,white_version,black_version,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,result,clean_win,enemy_combat_kills,friendly_usv_dead,breakthrough,explored_area_km2,resolution_time_s,engine_error,api_error,invalid_action,fair_play_violation,rerun_reason,wall_time_s,log_path,prediction_count,intercept_count,handoff_count,successful_handoff_count,handoff_evaluations,track_maintenance_assignments,screen_assignments,screen_evaluations,unique_screen_reconfigurations,unique_intercept_plan_changes,unique_high_risk_transitions,critical_risk_entries,breakthrough_risk_alerts,late_intercept_events,unsafe_close_entries,unsafe_close_duration_steps,reposition_outward_count,min_target_distance_during_pursuit,risk_evaluations,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,b3_calls
S1,W6xBO,W6,B0_RANDOM,4001,5,5,10,Result.Victory,1,10.0,1.0,0,51000.0,11084.0,0,0,0,0,,112.9,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4001_W6.log,3208,3208,1,0,10,4,0,474,1,2885,26,13,3502,0,0,0,0,40056.27749404084,6416,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4002,5,5,10,Result.Victory,0,10.0,5.0,1,58150.0,23565.0,0,0,0,0,,237.9,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4002_W6.log,3112,3112,2,0,9,0,0,1067,1,2742,22,10,3274,0,0,0,0,40119.65916560598,6224,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4003,5,5,10,Result.Victory,1,10.0,0.0,0,51725.0,10112.0,0,0,0,0,,102.3,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4003_W6.log,2943,2943,1,0,9,0,0,417,1,2651,19,9,2946,0,0,0,0,42171.531901351234,5886,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4004,5,5,10,Result.Victory,1,10.0,0.0,0,59975.0,10765.0,0,0,0,0,,108.8,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4004_W6.log,2991,2991,1,0,11,13,0,450,1,2623,24,10,3080,0,0,0,0,51363.12260161959,5982,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4005,5,5,10,Result.Victory,1,10.0,2.0,0,45250.0,10646.0,0,0,0,0,,107.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4005_W6.log,3116,3116,0,0,7,0,0,456,1,2632,18,6,3364,0,0,0,0,40868.500705378465,6232,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4006,5,5,10,Result.Victory,1,10.0,3.0,0,62900.0,11310.0,0,0,0,0,,114.4,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4006_W6.log,3058,3058,2,0,10,5,0,481,1,2695,23,11,3280,0,0,0,1,34259.092278346834,6116,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4007,5,5,10,Result.Defeat,0,9.0,5.0,0,63250.0,25210.0,0,0,0,0,,254.3,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4007_W6.log,2893,2893,2,0,10,2,0,1153,1,2526,21,9,2954,0,0,0,1,40425.14174783606,5786,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4008,5,5,10,Result.Victory,1,10.0,0.0,0,44875.0,10515.0,0,0,0,0,,107.1,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4008_W6.log,3078,3078,0,0,5,1,0,438,1,2798,19,9,3352,0,0,0,0,204319.68855354126,6156,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4009,5,5,10,Result.Victory,1,10.0,3.0,0,54425.0,14752.0,0,0,0,0,,149.0,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4009_W6.log,3628,3628,1,0,8,8,0,648,1,3204,21,11,3224,0,0,0,0,56145.70980905647,7256,0,0,0,0,0
S1,W6xBO,W6,B0_RANDOM,4010,5,5,10,Result.Victory,1,10.0,3.0,0,49325.0,12340.0,0,0,0,0,,124.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B0RANDOM_s4010_W6.log,3345,3345,0,0,10,0,0,534,1,2952,19,8,3240,0,0,0,1,42876.16089044057,6690,0,0,0,0,0
S2,W6xBO,W6,B0_RANDOM,4001,10,10,20,Result.Victory,1,20.0,6.0,0,68425.0,13435.0,0,0,0,0,,218.4,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4001_W6.log,5537,5537,2,0,17,10,0,431,1,5130,47,24,5758,0,0,0,0,41691.820306134134,11074,0,0,0,0,0
S2,W6xBO,W6,B0_RANDOM,4002,10,10,20,Result.Victory,1,20.0,7.0,0,61100.0,12991.0,0,0,0,0,,206.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4002_W6.log,5397,5397,2,0,16,0,0,405,1,4893,41,19,5366,0,0,0,0,43837.281230389846,10794,0,0,0,0,0
S2,W6xBO,W6,B0_RANDOM,4003,10,10,20,Result.Victory,1,20.0,5.0,0,52500.0,10402.0,0,0,0,0,,196.5,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4003_W6.log,5347,5347,0,0,11,0,0,368,1,4982,41,20,5402,0,0,0,0,54908.490409675134,10694,0,0,0,0,0
