scenario,metric,metric_name,note,mean_delta_black(S1-S0),median_delta_black,mean_delta_white(S2-S1),median_delta_white,boot95CI_black_on_utility,boot95CI_white_on_utility
S1,clean_win,Clean Win Rate,N=10 paired seeds,-0.2,0.0,-0.4,-1.0,"[-0.500,0.000]","[-0.800,0.100]"
S1,enemy_combat_kills,Enemy Combat Kills,N=10 paired seeds,0.0,0.0,-0.6,-1.0,"[0.000,0.000]","[-0.900,-0.300]"
S1,friendly_usv_dead,Friendly USV Loss,N=10 paired seeds,-0.8,0.0,2.2,2.0,"[0.200,1.500]","[-3.300,-1.200]"
S1,breakthrough,Breakthrough Rate,N=10 paired seeds,0.2,0.0,0.1,0.0,"[-0.500,0.000]","[-0.500,0.300]"
S1,explored_area_km2,Explored Area (km2),N=10 paired seeds,30472.5,43650.0,-31410.0,-37000.0,"[-44902.500,-15622.500]","[18017.500,43717.500]"
S1,resolution_time_s,Resolution Time (s),N=10 paired seeds,11218.5,13283.0,-2622.7,-867.0,"[-16822.400,-5849.600]","[-3687.800,9459.000]"
S2,clean_win,Clean Win Rate,N=10 paired seeds,-0.3,0.0,-0.6,-1.0,"[-0.600,0.000]","[-0.900,-0.300]"
S2,enemy_combat_kills,Enemy Combat Kills,N=10 paired seeds,-0.1,0.0,-1.6,-1.0,"[-0.300,0.000]","[-2.000,-1.200]"
S2,friendly_usv_dead,Friendly USV Loss,N=10 paired seeds,-1.8,-1.0,6.3,5.0,"[0.300,3.300]","[-7.500,-5.200]"
S2,breakthrough,Breakthrough Rate,N=10 paired seeds,0.3,0.0,-0.2,0.0,"[-0.600,0.000]","[-0.200,0.600]"
S2,explored_area_km2,Explored Area (km2),N=10 paired seeds,21727.5,25975.0,-5010.0,-875.0,"[-27817.500,-15670.000]","[-2465.000,13462.500]"
S2,resolution_time_s,Resolution Time (s),N=10 paired seeds,9965.4,7227.0,2914.4,8600.0,"[-16098.400,-4981.800]","[-7949.700,2928.200]"
S3,clean_win,Clean Win Rate,N=10 paired seeds,-0.2,0.0,-0.3,0.0,"[-0.600,0.200]","[-0.700,0.100]"
S3,enemy_combat_kills,Enemy Combat Kills,N=10 paired seeds,-0.3,0.0,-0.2,0.0,"[-1.000,0.200]","[-0.800,0.600]"
S3,friendly_usv_dead,Friendly USV Loss,N=10 paired seeds,-0.5,1.0,4.3,6.0,"[-1.900,2.900]","[-6.600,-1.600]"
S3,breakthrough,Breakthrough Rate,N=10 paired seeds,0.2,0.0,0.0,0.0,"[-0.600,0.200]","[-0.400,0.400]"
S3,explored_area_km2,Explored Area (km2),N=10 paired seeds,31132.5,41800.0,-6475.0,-4400.0,"[-41922.500,-20070.000]","[-4955.000,17747.500]"
S3,resolution_time_s,Resolution Time (s),N=10 paired seeds,8790.6,8055.0,3127.4,4476.0,"[-14690.900,-3298.200]","[-8283.300,1525.700]"
