scenario,metric,Stage0,Stage1,Stage2,note
S1,unique_intercept_plan_changes,0.0,0.0,2782.0,Stage2 only interpretable (W6)
S1,unsafe_close_entries,0.0,0.0,0.5,Stage2 only interpretable (W6)
S1,unsafe_close_duration_steps,0.0,0.0,0.5,Stage2 only interpretable (W6)
S1,reposition_outward_count,0.0,0.0,1.0,Stage2 only interpretable (W6)
S1,handoff_count,0.0,0.0,3.1,Stage2 only interpretable (W6)
S1,successful_handoff_count,0.0,0.0,0.0,Stage2 only interpretable (W6)
S1,handoff_evaluations,0.0,0.0,19.5,Stage2 only interpretable (W6)
S1,track_maintenance_assignments,0.0,0.0,100.6,Stage2 only interpretable (W6)
S1,screen_assignments,0.0,0.0,7.4,Stage2 only interpretable (W6)
S1,screen_evaluations,0.0,0.0,1054.4,Stage2 only interpretable (W6)
S1,unique_screen_reconfigurations,0.0,0.0,6.4,Stage2 only interpretable (W6)
S1,unique_high_risk_transitions,0.0,0.0,29.8,Stage2 only interpretable (W6)
S1,critical_risk_entries,0.0,0.0,16.3,Stage2 only interpretable (W6)
S1,late_intercept_events,0.0,0.0,60.2,Stage2 only interpretable (W6)
S1,breakthrough_risk_alerts,0.0,0.0,3278.2,Stage2 only interpretable (W6)
S1,min_target_distance_during_pursuit,0.0,0.0,37570.74,Stage2 only interpretable (W6)
S2,unique_intercept_plan_changes,0.0,0.0,4443.8,Stage2 only interpretable (W6)
S2,unsafe_close_entries,0.0,0.0,0.5,Stage2 only interpretable (W6)
S2,unsafe_close_duration_steps,0.0,0.0,0.5,Stage2 only interpretable (W6)
S2,reposition_outward_count,0.0,0.0,0.9,Stage2 only interpretable (W6)
S2,handoff_count,0.0,0.0,11.0,Stage2 only interpretable (W6)
S2,successful_handoff_count,0.0,0.0,0.0,Stage2 only interpretable (W6)
S2,handoff_evaluations,0.0,0.0,45.5,Stage2 only interpretable (W6)
S2,track_maintenance_assignments,0.0,0.0,85.5,Stage2 only interpretable (W6)
S2,screen_assignments,0.0,0.0,15.2,Stage2 only interpretable (W6)
S2,screen_evaluations,0.0,0.0,826.4,Stage2 only interpretable (W6)
S2,unique_screen_reconfigurations,0.0,0.0,6.4,Stage2 only interpretable (W6)
S2,unique_high_risk_transitions,0.0,0.0,65.3,Stage2 only interpretable (W6)
S2,critical_risk_entries,0.0,0.0,27.9,Stage2 only interpretable (W6)
S2,late_intercept_events,0.0,0.0,39.6,Stage2 only interpretable (W6)
S2,breakthrough_risk_alerts,0.0,0.0,4532.6,Stage2 only interpretable (W6)
S2,min_target_distance_during_pursuit,0.0,0.0,37192.62,Stage2 only interpretable (W6)
S3,unique_intercept_plan_changes,0.0,0.0,7523.2,Stage2 only interpretable (W6)
S3,unsafe_close_entries,0.0,0.0,0.6,Stage2 only interpretable (W6)
S3,unsafe_close_duration_steps,0.0,0.0,0.6,Stage2 only interpretable (W6)
S3,reposition_outward_count,0.0,0.0,1.7,Stage2 only interpretable (W6)
S3,handoff_count,0.0,0.0,14.7,Stage2 only interpretable (W6)
S3,successful_handoff_count,0.0,0.0,0.0,Stage2 only interpretable (W6)
S3,handoff_evaluations,0.0,0.0,57.7,Stage2 only interpretable (W6)
S3,track_maintenance_assignments,0.0,0.0,73.7,Stage2 only interpretable (W6)
S3,screen_assignments,0.0,0.0,17.1,Stage2 only interpretable (W6)
S3,screen_evaluations,0.0,0.0,598.7,Stage2 only interpretable (W6)
S3,unique_screen_reconfigurations,0.0,0.0,6.8,Stage2 only interpretable (W6)
S3,unique_high_risk_transitions,0.0,0.0,92.3,Stage2 only interpretable (W6)
S3,critical_risk_entries,0.0,0.0,42.4,Stage2 only interpretable (W6)
S3,late_intercept_events,0.0,0.0,35.0,Stage2 only interpretable (W6)
S3,breakthrough_risk_alerts,0.0,0.0,7953.0,Stage2 only interpretable (W6)
S3,min_target_distance_during_pursuit,0.0,0.0,35819.73,Stage2 only interpretable (W6)
