experiment_id,white_policy,black_policy,scenario,seed_start,seed_end,valid_n,white_victory_rate,white_clean_rate,black_win_rate(breakthrough),white_defeat_rate,source
formal_eval_20260825,W5,B0(black-b0-v1),S1/S2/S3,1001,1030,90,0.989,0.944,0.056,0.011,formal_eval_20260825/episode_results.csv
opponent_formal_eval[B0_RANDOM],W5,B0_RANDOM,S1/S2/S3,1001,1030,90,0.989,0.944,0.056,0.011,opponent_formal_eval/episode_results.csv
opponent_formal_eval[B3_ADAPTIVE],W5,B3_ADAPTIVE,S1/S2/S3,1001,1030,90,0.944,0.822,0.156,0.056,opponent_formal_eval/episode_results.csv
auto_harness_phase0,W5,B3_ADAPTIVE,S2,6001,6100,100,0.91,0.65,0.35,0.09,auto_harness/phase0/corpus/AUTO_HARNESS_EPISODES.csv
white_phase1_dev_w5,W5,B3_ADAPTIVE,S2,8001,8030,30,0.867,0.5,0.467,0.133,auto_harness/phase1/dev_w5/EPISODES.csv
white_phase1_dev_cand,white-auto-0001-v1,B3_ADAPTIVE,S2,8001,8018,18,0.833,0.722,0.278,0.167,auto_harness/phase1/dev_cand/EPISODES.csv
common_calibration[B0_RANDOM],W5,B0_RANDOM,S2,7001,7010,10,1.0,0.9,0.1,0.0,policy_system/calibration/COMMON_CALIBRATION_EPISODES.csv
common_calibration[B1_MULTI_AXIS],W5,B1_MULTI_AXIS,S2,7001,7010,10,0.0,0.0,0.9,1.0,policy_system/calibration/COMMON_CALIBRATION_EPISODES.csv
common_calibration[B2_COORDINATED_PRESSURE],W5,B2_COORDINATED_PRESSURE,S2,7001,7010,10,0.0,0.0,0.7,1.0,policy_system/calibration/COMMON_CALIBRATION_EPISODES.csv
common_calibration[B3_ADAPTIVE],W5,B3_ADAPTIVE,S2,7001,7010,10,0.9,0.6,0.4,0.1,policy_system/calibration/COMMON_CALIBRATION_EPISODES.csv
b0_v2_pilot,W5,black-b0-v2,S2,9001,9009,9,1.0,1.0,0.0,0.0,b0_v2/pilot/EPISODES.csv
b0_v2_full,W5,black-b0-v2,S2,9001,9090,90,1.0,0.989,0.011,0.0,b0_v2/full/EPISODES.csv
auto_0001_s2,W5,black-auto-0001-v1,S2,7001,7010,10,0.9,0.8,0.2,0.1,policy_system/evolution/auto_0001/calibration_s2/EPISODES.csv
auto_0001_fresh,W5,black-auto-0001-v1,S2,7101,7110,10,0.8,0.7,0.3,0.2,policy_system/evolution/auto_0001/fresh_candidate/EPISODES.csv
auto_0001_cross_s1,W5,black-auto-0001-v1,S1,7201,7205,5,0.8,0.6,0.2,0.2,policy_system/evolution/auto_0001/cross_S1_candidate/EPISODES.csv
auto_0001_cross_s3,W5,black-auto-0001-v1,S3,7201,7205,5,0.8,0.8,0.0,0.2,policy_system/evolution/auto_0001/cross_S3_candidate/EPISODES.csv
w7_performance_push,W5-variants,B3?,S1/S2/S3,NOT_FOUND,NOT_FOUND,31,0.903,0.645,0.355,0.097,w7_performance_push/W7_DEV_RESULTS.csv
coevolution_final,W5/W6,B0/B3,S1/S2/S3,NOT_FOUND,NOT_FOUND,90,0.711,0.633,0.211,0.289,coevolution_final/final_episode_results.csv
bt_regression_eval,W5/BT,?,S1/S2/S3,NOT_FOUND,NOT_FOUND,0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,bt_regression_eval/integrated_results.csv
