white_usv,white_uav,black_usv,black_uav,black_total,seed,scenario,oob_multiplier,policy,engine_result,clean_result,friendly_usv_dead,friendly_uav_dead,friendly_total_dead,enemy_combat_killed,enemy_out_of_bounds,enemy_breakthrough,enemy_survived,enemy_unknown,enemy_total,explored_area_km2,exploration_ratio,sum_unit_explored_km2,sum_damage_hits,sum_kill_credit,black_hit_reward,agent_kill_count,agent_enemy_kills,commander_source,commander_calls,sim_time,wall_time,notes
5,5,10,10,20,301,L5_20,0,harness,Result.Victory,clean_victory,2,0,2,10,0,0,0,0,10,43625.0,0.2257,156150.0,19,9,19,8,10.0,default_intent,0.0,12102.0,122.3,
5,5,10,10,20,302,L5_20,0,harness,Result.Victory,clean_victory,0,0,0,10,0,0,0,0,10,56225.0,0.2909,200450.0,18,9,18,9,10.0,default_intent,0.0,13217.0,134.2,
5,5,10,10,20,303,L5_20,0,harness,Result.Victory,quirk_victory,1,0,1,9,0,1,0,0,10,106750.0,0.5522,358350.0,17,9,18,9,10.0,default_intent,0.0,22760.0,229.4,
5,5,13,12,25,301,L5_25,0,harness,Result.Victory,clean_victory,3,0,3,13,0,0,0,0,13,50850.0,0.2631,169850.0,25,12,26,12,13.0,default_intent,0.0,14621.0,147.6,
5,5,13,12,25,302,L5_25,0,harness,Result.Victory,clean_victory,1,0,1,13,0,0,0,0,13,57350.0,0.2967,207650.0,25,12,25,12,13.0,default_intent,0.0,14984.0,151.2,
5,5,13,12,25,303,L5_25,0,harness,Result.Victory,clean_victory,2,0,2,13,0,0,0,0,13,44625.0,0.2309,165875.0,26,13,26,11,13.0,default_intent,0.0,12426.0,125.5,
5,5,15,15,30,301,L5_30,0,harness,Result.Victory,clean_victory,3,0,3,15,0,0,0,0,15,54500.0,0.2819,181250.0,29,14,29,14,15.0,default_intent,0.0,15619.0,157.7,
5,5,15,15,30,302,L5_30,0,harness,Result.Victory,clean_victory,3,0,3,15,0,0,0,0,15,97925.0,0.5066,304500.0,30,15,30,14,15.0,default_intent,0.0,24221.0,244.4,
5,5,15,15,30,303,L5_30,0,harness,Result.Victory,quirk_victory,3,1,4,14,0,1,0,0,15,99775.0,0.5162,291350.0,28,12,28,14,15.0,default_intent,0.0,22771.0,229.7,
5,5,18,17,35,301,L5_35,0,harness,Result.Victory,quirk_victory,1,0,1,18,0,0,0,0,18,95950.0,0.4964,323525.0,34,15,34,17,18.0,default_intent,0.0,22844.0,230.0,
