experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7001,10,10,20,0,Result.Victory,1,1,clean,13018.0,161.0,5,5,10,0,5,20,18,0,2,0,0,0,69775.0,0.361,133500.0,209975.0,20,20,0.6575,5.0,,34215.0,1851,7389,8316,13018.0,,,,,,0,46,17,39,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7002,10,10,20,0,Result.Victory,1,1,clean,13218.0,160.8,4,6,10,0,6,20,19,0,1,0,0,0,70450.0,0.3645,131075.0,202725.0,20,20,0.5573,5.0,,33937.0,1849,7371,8617,13218.0,,,,,,1,41,12,39,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7003,10,10,20,0,Result.Victory,1,1,clean,26740.0,269.8,6,4,0,10,14,20,19,0,1,0,0,0,106000.0,0.5484,170725.0,398700.0,20,19,0.8734,5.0,,39427.0,1849,7400,8306,26740.0,,,,,,8,44,17,38,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7004,10,10,20,0,Result.Victory,1,1,clean,11098.0,149.7,4,6,10,0,6,20,20,0,0,0,0,0,59300.0,0.3068,128000.0,174650.0,20,20,0.2821,4.9,,26550.0,1870,7383,8310,11098.0,,,,,,0,45,16,40,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7005,10,10,20,0,Result.Victory,1,1,clean,18167.0,190.1,3,7,10,0,7,20,19,0,1,0,0,0,62375.0,0.3227,150850.0,224900.0,20,20,0.7989,4.8,,42111.0,1860,7381,8302,18167.0,,,,,,0,41,12,39,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7006,10,10,20,0,Result.Victory,1,1,clean,13015.0,161.7,7,3,10,0,3,20,20,0,0,0,0,0,78625.0,0.4067,140700.0,219925.0,20,20,0.7685,4.9,,35486.0,1870,7382,8323,13015.0,,,,,,1,45,15,40,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7007,10,10,20,0,Result.Victory,1,0,C_breakthrough,22995.0,232.0,2,8,10,0,8,19,20,0,1,1,0,0,83100.0,0.4299,133750.0,313175.0,20,19,0.8133,4.9,,38395.0,1841,7401,8298,22995.0,,,,,,8,43,14,38,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7008,10,10,20,0,Result.Victory,1,1,clean,10787.0,152.0,6,4,10,0,4,20,20,0,0,0,0,0,59600.0,0.3083,128300.0,169575.0,20,20,0.6922,4.9,,31291.0,1846,7417,8341,10787.0,,,,,,0,46,16,40,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7009,10,10,20,0,Result.Victory,1,1,clean,16862.0,182.6,4,6,10,0,6,20,20,0,0,0,0,0,75300.0,0.3895,150275.0,262475.0,20,20,0.5524,5.0,,31660.0,1848,7397,8302,16862.0,,,,,,1,45,15,40,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B0_RANDOM,7010,10,10,20,0,Result.Victory,1,1,clean,12086.0,162.0,7,3,10,0,3,20,19,0,1,0,0,0,63525.0,0.3286,133650.0,202975.0,20,20,0.3696,5.0,,25132.0,1863,7373,8289,12086.0,,,,,,0,44,15,39,0,0,0,0,0,0
COMMON_CAL_DEV,S2,S2,B1_MULTI_AXIS,7001,10,10,20,0,Result.Defeat,0,0,C_breakthrough,25375.0,278.7,7,3,0,10,13,14,14,5,0,1,0,0,104125.0,0.5387,207375.0,477500.0,18,14,1.183,3.9,,76713.0,1843,7410,8317,25375.0,,,,,,8,31,7,28,0,0,0,0,0,0
