policy_id,seed,group,feature,availability,value
B0_RANDOM,7001,temporal,first_contact_time,available,1851.0
B0_RANDOM,7001,temporal,first_engagement_time,available,7389.0
B0_RANDOM,7001,temporal,first_attack_time,available,8316.0
B0_RANDOM,7001,temporal,resolution_time,available,13018.0
B0_RANDOM,7001,spatial,approach_lane_entropy,proxy,0.6575
B0_RANDOM,7001,spatial,mean_visible_group_count,proxy,5.0
B0_RANDOM,7001,spatial,mean_group_spacing_km,proxy,34215.0
B0_RANDOM,7001,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7001,spatial,visible_pairwise_dist_km_median,proxy,27.716096939407038
B0_RANDOM,7001,spatial,visible_y_spread_km_median,proxy,88.96666552081932
B0_RANDOM,7001,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7001,spatial,visible_window_start_s,proxy,1969.0
B0_RANDOM,7001,coordination,arrival_front_sync_std_s,proxy,0.0
B0_RANDOM,7001,coordination,arrival_front_mean_s,proxy,1969.0
B0_RANDOM,7001,coordination,approach_bearing_entropy,proxy,0.6575
B0_RANDOM,7001,coordination,group_arrival_sync,proxy,0.0
B0_RANDOM,7001,adaptation,adaptive_replan_count,available,0.0
B0_RANDOM,7001,adaptation,lane_shift_count,available,0.0
B0_RANDOM,7001,adaptation,dispersion_event_count,available,0.0
B0_RANDOM,7001,adaptation,detected_white_event_count,available,0.0
B0_RANDOM,7001,adaptation,replan_frequency_per_1000s,available,0.0
B0_RANDOM,7002,temporal,first_contact_time,available,1849.0
B0_RANDOM,7002,temporal,first_engagement_time,available,7371.0
B0_RANDOM,7002,temporal,first_attack_time,available,8617.0
B0_RANDOM,7002,temporal,resolution_time,available,13218.0
B0_RANDOM,7002,spatial,approach_lane_entropy,proxy,0.5573
B0_RANDOM,7002,spatial,mean_visible_group_count,proxy,5.0
B0_RANDOM,7002,spatial,mean_group_spacing_km,proxy,33937.0
B0_RANDOM,7002,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7002,spatial,visible_pairwise_dist_km_median,proxy,30.254356325366984
B0_RANDOM,7002,spatial,visible_y_spread_km_median,proxy,79.18959254405047
B0_RANDOM,7002,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7002,spatial,visible_window_start_s,proxy,1938.0
B0_RANDOM,7002,coordination,arrival_front_sync_std_s,proxy,0.0
B0_RANDOM,7002,coordination,arrival_front_mean_s,proxy,1938.0
B0_RANDOM,7002,coordination,approach_bearing_entropy,proxy,0.5573
B0_RANDOM,7002,coordination,group_arrival_sync,proxy,0.0
B0_RANDOM,7002,adaptation,adaptive_replan_count,available,0.0
B0_RANDOM,7002,adaptation,lane_shift_count,available,0.0
B0_RANDOM,7002,adaptation,dispersion_event_count,available,0.0
B0_RANDOM,7002,adaptation,detected_white_event_count,available,0.0
B0_RANDOM,7002,adaptation,replan_frequency_per_1000s,available,0.0
B0_RANDOM,7003,temporal,first_contact_time,available,1849.0
B0_RANDOM,7003,temporal,first_engagement_time,available,7400.0
B0_RANDOM,7003,temporal,first_attack_time,available,8306.0
B0_RANDOM,7003,temporal,resolution_time,available,26740.0
B0_RANDOM,7003,spatial,approach_lane_entropy,proxy,0.8734
B0_RANDOM,7003,spatial,mean_visible_group_count,proxy,5.0
B0_RANDOM,7003,spatial,mean_group_spacing_km,proxy,39427.0
B0_RANDOM,7003,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7003,spatial,visible_pairwise_dist_km_median,proxy,35.028715299187404
B0_RANDOM,7003,spatial,visible_y_spread_km_median,proxy,117.26761753614008
B0_RANDOM,7003,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7003,spatial,visible_window_start_s,proxy,1847.0
B0_RANDOM,7003,coordination,arrival_front_sync_std_s,proxy,73.5
B0_RANDOM,7003,coordination,arrival_front_mean_s,proxy,1947.1
B0_RANDOM,7003,coordination,approach_bearing_entropy,proxy,0.8734
B0_RANDOM,7003,coordination,group_arrival_sync,proxy,73.5
B0_RANDOM,7003,adaptation,adaptive_replan_count,available,0.0
B0_RANDOM,7003,adaptation,lane_shift_count,available,0.0
B0_RANDOM,7003,adaptation,dispersion_event_count,available,0.0
B0_RANDOM,7003,adaptation,detected_white_event_count,available,0.0
B0_RANDOM,7003,adaptation,replan_frequency_per_1000s,available,0.0
B0_RANDOM,7004,temporal,first_contact_time,available,1870.0
B0_RANDOM,7004,temporal,first_engagement_time,available,7383.0
B0_RANDOM,7004,temporal,first_attack_time,available,8310.0
B0_RANDOM,7004,temporal,resolution_time,available,11098.0
B0_RANDOM,7004,spatial,approach_lane_entropy,proxy,0.2821
B0_RANDOM,7004,spatial,mean_visible_group_count,proxy,4.9
B0_RANDOM,7004,spatial,mean_group_spacing_km,proxy,26550.0
B0_RANDOM,7004,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7004,spatial,visible_pairwise_dist_km_median,proxy,23.989600024230256
B0_RANDOM,7004,spatial,visible_y_spread_km_median,proxy,78.69283254718286
B0_RANDOM,7004,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7004,spatial,visible_window_start_s,proxy,2042.0
B0_RANDOM,7004,coordination,arrival_front_sync_std_s,proxy,0.0
B0_RANDOM,7004,coordination,arrival_front_mean_s,proxy,2042.0
B0_RANDOM,7004,coordination,approach_bearing_entropy,proxy,0.2821
B0_RANDOM,7004,coordination,group_arrival_sync,proxy,0.0
B0_RANDOM,7004,adaptation,adaptive_replan_count,available,0.0
B0_RANDOM,7004,adaptation,lane_shift_count,available,0.0
B0_RANDOM,7004,adaptation,dispersion_event_count,available,0.0
B0_RANDOM,7004,adaptation,detected_white_event_count,available,0.0
B0_RANDOM,7004,adaptation,replan_frequency_per_1000s,available,0.0
B0_RANDOM,7005,temporal,first_contact_time,available,1860.0
B0_RANDOM,7005,temporal,first_engagement_time,available,7381.0
B0_RANDOM,7005,temporal,first_attack_time,available,8302.0
B0_RANDOM,7005,temporal,resolution_time,available,18167.0
B0_RANDOM,7005,spatial,approach_lane_entropy,proxy,0.7989
B0_RANDOM,7005,spatial,mean_visible_group_count,proxy,4.8
B0_RANDOM,7005,spatial,mean_group_spacing_km,proxy,42111.0
B0_RANDOM,7005,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7005,spatial,visible_pairwise_dist_km_median,proxy,32.63116255242018
B0_RANDOM,7005,spatial,visible_y_spread_km_median,proxy,95.11142224247772
B0_RANDOM,7005,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7005,spatial,visible_window_start_s,proxy,1937.0
B0_RANDOM,7005,coordination,arrival_front_sync_std_s,proxy,0.0
B0_RANDOM,7005,coordination,arrival_front_mean_s,proxy,1937.0
B0_RANDOM,7005,coordination,approach_bearing_entropy,proxy,0.7989
B0_RANDOM,7005,coordination,group_arrival_sync,proxy,0.0
B0_RANDOM,7005,adaptation,adaptive_replan_count,available,0.0
B0_RANDOM,7005,adaptation,lane_shift_count,available,0.0
B0_RANDOM,7005,adaptation,dispersion_event_count,available,0.0
B0_RANDOM,7005,adaptation,detected_white_event_count,available,0.0
B0_RANDOM,7005,adaptation,replan_frequency_per_1000s,available,0.0
B0_RANDOM,7006,temporal,first_contact_time,available,1870.0
B0_RANDOM,7006,temporal,first_engagement_time,available,7382.0
B0_RANDOM,7006,temporal,first_attack_time,available,8323.0
B0_RANDOM,7006,temporal,resolution_time,available,13015.0
B0_RANDOM,7006,spatial,approach_lane_entropy,proxy,0.7685
B0_RANDOM,7006,spatial,mean_visible_group_count,proxy,4.9
B0_RANDOM,7006,spatial,mean_group_spacing_km,proxy,35486.0
B0_RANDOM,7006,spatial,peak_simultaneous_visible,proxy,20.0
B0_RANDOM,7006,spatial,visible_pairwise_dist_km_median,proxy,30.72930146257505
B0_RANDOM,7006,spatial,visible_y_spread_km_median,proxy,80.44156222507134
B0_RANDOM,7006,spatial,visible_peak_count,proxy,20.0
B0_RANDOM,7006,spatial,visible_window_start_s,proxy,1960.0
B0_RANDOM,7006,coordination,arrival_front_sync_std_s,proxy,0.0
B0_RANDOM,7006,coordination,arrival_front_mean_s,proxy,1960.0
B0_RANDOM,7006,coordination,approach_bearing_entropy,proxy,0.7685
B0_RANDOM,7006,coordination,group_arrival_sync,proxy,0.0
B0_RANDOM,7006,adaptation,adaptive_replan_count,available,0.0
