policy_id,n,block,group,feature,availability,mean,std,median,p25,p75,n_used
B0_RANDOM,10,behavioral,adaptation,adaptive_replan_count,available,0,0.0,0.0,0,0,10
B0_RANDOM,10,behavioral,adaptation,lane_shift_count,available,0,0.0,0.0,0,0,10
B0_RANDOM,10,behavioral,adaptation,dispersion_event_count,available,0,0.0,0.0,0,0,10
B0_RANDOM,10,behavioral,adaptation,detected_white_event_count,available,0,0.0,0.0,0,0,10
B0_RANDOM,10,behavioral,adaptation,replan_frequency_per_1000s,available,0.0,0.0,0.0,0.0,0.0,10
B0_RANDOM,10,behavioral,adaptation,contact_to_replan_latency,unavailable,,,,,,10
B0_RANDOM,10,behavioral,coordination,arrival_front_sync_std_s,proxy,7.35,22.05,0.0,0.0,0.0,10
B0_RANDOM,10,behavioral,coordination,arrival_front_mean_s,proxy,1974.41,41.1132,1961.5,1938,2009,10
B0_RANDOM,10,behavioral,coordination,approach_bearing_entropy,proxy,0.6365,0.1857,0.6748,0.5524,0.7989,10
B0_RANDOM,10,behavioral,coordination,group_arrival_sync,proxy,7.35,22.05,0.0,0.0,0.0,10
B0_RANDOM,10,behavioral,spatial,approach_lane_entropy,proxy,0.6365,0.1857,0.6748,0.5524,0.7989,10
B0_RANDOM,10,behavioral,spatial,mean_visible_group_count,proxy,4.94,0.0663,4.95,4.9,5.0,10
B0_RANDOM,10,behavioral,spatial,mean_group_spacing_km,proxy,33820.4,5132.745,34076.0,31291.0,38395.0,10
B0_RANDOM,10,behavioral,spatial,peak_simultaneous_visible,proxy,20.0,0.0,20.0,20.0,20.0,10
B0_RANDOM,10,behavioral,spatial,visible_pairwise_dist_km_median,proxy,28.9701,4.0402,29.2398,25.674,32.6312,10
B0_RANDOM,10,behavioral,spatial,visible_y_spread_km_median,proxy,86.7116,13.7876,82.7806,78.6928,95.1114,10
B0_RANDOM,10,behavioral,spatial,visible_peak_count,proxy,20,0.0,20.0,20,20,10
B0_RANDOM,10,behavioral,spatial,visible_window_start_s,proxy,1964.4,56.0254,1961.5,1937,2009,10
B0_RANDOM,10,behavioral,temporal,first_contact_time,available,1854.7,9.7576,1850.0,1848.0,1863.0,10
B0_RANDOM,10,behavioral,temporal,first_engagement_time,available,7389.4,13.5661,7386.0,7381.0,7400.0,10
B0_RANDOM,10,behavioral,temporal,first_attack_time,available,8340.4,93.2215,8308.0,8302.0,8323.0,10
B0_RANDOM,10,behavioral,temporal,resolution_time,available,15798.6,5112.508,13118.0,12086.0,18167.0,10
B0_RANDOM,10,behavioral,temporal,phase_switch_count,unavailable,,,,,,10
B0_RANDOM,10,response,failure,failure_reason,,,,,,,10
B0_RANDOM,10,response,outcomes,victory,available,1,0.0,1.0,1,1,10
B0_RANDOM,10,response,outcomes,clean_win,available,0.9,0.3,1.0,1,1,10
B0_RANDOM,10,response,outcomes,breakthrough_count,available,0.1,0.3,0.0,0.0,0.0,10
B0_RANDOM,10,response,outcomes,white_friendly_losses,available,6.2,3.0265,6.0,4.0,7.0,10
B0_RANDOM,10,response,outcomes,enemy_kills,available,19.9,0.3,20.0,20.0,20.0,10
B0_RANDOM,10,response,outcomes,explored_ratio,available,0.3766,0.0697,0.3628,0.3227,0.4067,10
B0_RANDOM,10,response,outcomes,white_reacquire_count,available,1.9,3.0806,0.5,0.0,1.0,10
B1_MULTI_AXIS,10,behavioral,adaptation,adaptive_replan_count,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,behavioral,adaptation,lane_shift_count,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,behavioral,adaptation,dispersion_event_count,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,behavioral,adaptation,detected_white_event_count,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,behavioral,adaptation,replan_frequency_per_1000s,available,0.0,0.0,0.0,0.0,0.0,10
B1_MULTI_AXIS,10,behavioral,adaptation,contact_to_replan_latency,unavailable,,,,,,10
