policy_id,n,response_group,feature,mean,std,median
B0_RANDOM,10,failure,failure_reason,,,
B0_RANDOM,10,outcomes,victory,1,0.0,1.0
B0_RANDOM,10,outcomes,clean_win,0.9,0.3,1.0
B0_RANDOM,10,outcomes,breakthrough_count,0.1,0.3,0.0
B0_RANDOM,10,outcomes,white_friendly_losses,6.2,3.0265,6.0
B0_RANDOM,10,outcomes,enemy_kills,19.9,0.3,20.0
B0_RANDOM,10,outcomes,explored_ratio,0.3766,0.0697,0.3628
B0_RANDOM,10,outcomes,white_reacquire_count,1.9,3.0806,0.5
B1_MULTI_AXIS,10,failure,failure_reason,,,
B1_MULTI_AXIS,10,outcomes,victory,0,0.0,0.0
B1_MULTI_AXIS,10,outcomes,clean_win,0,0.0,0.0
B1_MULTI_AXIS,10,outcomes,breakthrough_count,0.9,0.3,1.0
B1_MULTI_AXIS,10,outcomes,white_friendly_losses,11.3,1.005,11.0
B1_MULTI_AXIS,10,outcomes,enemy_kills,15.1,2.119,14.0
B1_MULTI_AXIS,10,outcomes,explored_ratio,0.5167,0.0343,0.5087
B1_MULTI_AXIS,10,outcomes,white_reacquire_count,3.5,3.0083,2.0
B2_COORDINATED_PRESSURE,10,failure,failure_reason,,,
B2_COORDINATED_PRESSURE,10,outcomes,victory,0,0.0,0.0
B2_COORDINATED_PRESSURE,10,outcomes,clean_win,0,0.0,0.0
B2_COORDINATED_PRESSURE,10,outcomes,breakthrough_count,0.8,0.6,1.0
B2_COORDINATED_PRESSURE,10,outcomes,white_friendly_losses,7.4,5.142,10.5
B2_COORDINATED_PRESSURE,10,outcomes,enemy_kills,15.2,1.7776,15.0
B2_COORDINATED_PRESSURE,10,outcomes,explored_ratio,0.5325,0.0484,0.5097
B2_COORDINATED_PRESSURE,10,outcomes,white_reacquire_count,2.3,1.1874,2.0
B3_ADAPTIVE,10,failure,failure_reason,,,
B3_ADAPTIVE,10,outcomes,victory,0.9,0.3,1.0
B3_ADAPTIVE,10,outcomes,clean_win,0.6,0.4899,1.0
B3_ADAPTIVE,10,outcomes,breakthrough_count,0.4,0.4899,0.0
B3_ADAPTIVE,10,outcomes,white_friendly_losses,8.5,4.2953,10.0
B3_ADAPTIVE,10,outcomes,enemy_kills,19.5,0.6708,20.0
B3_ADAPTIVE,10,outcomes,explored_ratio,0.5204,0.0749,0.5328
B3_ADAPTIVE,10,outcomes,white_reacquire_count,4.6,2.9394,4.5
