policy_a,policy_b,artifact_distinct,semantic_distinct,behavior_distance,response_distance,top_feature_effect,multi_seed_stable,multi_scenario_status,verdict
B0_RANDOM,B1_MULTI_AXIS,distinct,distinct,1.269,1.526,spatial.mean_group_spacing_km d=8.988,stable,NOT_YET,EMPIRICALLY_DISTINCT
B0_RANDOM,B2_COORDINATED_PRESSURE,distinct,distinct,1.176,1.256,spatial.mean_group_spacing_km d=9.821,stable,NOT_YET,EMPIRICALLY_DISTINCT
B0_RANDOM,B3_ADAPTIVE,distinct,distinct,1.335,0.769,adaptation.dispersion_event_count d=11.181,stable,NOT_YET,EMPIRICALLY_DISTINCT
B1_MULTI_AXIS,B2_COORDINATED_PRESSURE,distinct,distinct,0.371,0.414,spatial.mean_group_spacing_km d=1.147,unstable,NOT_YET,INCONCLUSIVE
B1_MULTI_AXIS,B3_ADAPTIVE,distinct,distinct,1.1,1.006,adaptation.dispersion_event_count d=11.181,stable,NOT_YET,EMPIRICALLY_DISTINCT
B2_COORDINATED_PRESSURE,B3_ADAPTIVE,distinct,distinct,1.111,0.977,adaptation.dispersion_event_count d=11.181,stable,NOT_YET,EMPIRICALLY_DISTINCT
AUTO1,B0,distinct,distinct,1.27,0.413,structure.early_late_concentration_delta d=5.052,stable,YES,EMPIRICALLY_DISTINCT
AUTO1,B1,distinct,distinct,1.479,1.257,structure.early_late_concentration_delta d=6.099,stable,PARTIAL,EMPIRICALLY_DISTINCT
AUTO1,B2,distinct,distinct,1.384,1.112,spatial.mean_group_spacing_km d=4.221,stable,PARTIAL,EMPIRICALLY_DISTINCT
AUTO1,B3,distinct,distinct,1.435,0.425,adaptation.dispersion_event_count d=11.181,stable,PARTIAL,EMPIRICALLY_DISTINCT
