experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7001,10,10,20,0,Result.Victory,1,1,clean,21317.0,215.0,5,5,10,0,5,20,19,0,1,0,0,0,78100.0,0.404,198900.0,321550.0,20,20,0.9449,4.9,,53956.0,1854,7386,8347,21317.0,,,,,,0,45,16,38,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7002,10,10,20,0,Result.Victory,1,0,C_breakthrough,40569.0,409.1,9,1,0,10,11,19,20,0,1,1,0,0,123675.0,0.6398,216050.0,496850.0,19,16,0.1191,4.1,,24625.0,1859,7402,8637,40569.0,,,,,,8,43,17,32,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7003,10,10,20,0,Result.Victory,1,1,clean,17045.0,183.6,7,3,10,0,3,20,19,0,1,0,0,0,69325.0,0.3586,192300.0,274150.0,20,20,0.5727,4.5,,32343.0,1843,7397,8337,17045.0,,,,,,0,48,19,38,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7004,10,10,20,0,Result.Victory,1,1,clean,15847.0,176.5,8,2,10,0,2,20,19,0,1,0,0,0,67425.0,0.3488,183900.0,272075.0,20,20,0.6096,4.7,,36865.0,1863,7396,8652,15847.0,,,,,,0,43,14,38,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7005,10,10,20,0,Result.Victory,1,1,clean,22922.0,232.8,5,5,10,0,5,20,20,0,0,0,0,0,70525.0,0.3648,194600.0,314000.0,20,20,0.6794,4.5,,44873.0,1870,7399,8344,22922.0,,,,,,0,50,20,40,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7006,10,10,20,0,Result.Victory,1,1,clean,40404.0,407.6,5,5,0,10,15,20,20,0,0,0,0,0,103050.0,0.5331,182525.0,470600.0,20,16,0.2734,4.2,,35883.0,1865,7373,8311,40404.0,,,,,,2,41,15,32,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7007,10,10,20,0,Result.Victory,1,1,clean,16283.0,180.1,7,3,10,0,3,20,19,0,1,0,0,0,62550.0,0.3236,174925.0,262850.0,20,20,0.5558,4.5,,31878.0,1857,7381,8627,16283.0,,,,,,0,43,14,39,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7008,10,10,20,0,Result.Defeat,0,0,C_breakthrough,41169.0,418.6,6,4,0,10,14,18,16,1,2,1,0,0,94175.0,0.4872,184225.0,440700.0,19,16,0.2209,4.1,,32365.0,1863,7396,8367,41169.0,,,,,,2,43,17,32,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7009,10,10,20,0,Result.Victory,1,1,clean,39039.0,393.7,8,2,0,10,12,20,20,0,0,0,0,0,95800.0,0.4956,278625.0,426300.0,20,19,1.3143,5.0,,64473.0,1858,7403,8293,39039.0,,,,,,1,46,17,38,0,0,0,0,0,0
AUTO_0001_S2,S2,S2,AUTO_FEINT_SWITCH,7010,10,10,20,0,Result.Victory,1,1,clean,39357.0,400.3,6,4,0,10,14,20,20,0,0,0,0,0,104800.0,0.5422,247200.0,432000.0,20,19,1.1622,4.9,,72804.0,1851,7397,8313,39357.0,,,,,,1,41,13,38,0,0,0,0,0,0
