experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7101,10,10,20,0,Result.Victory,1,1,clean,15650.0,172.5,4,6,10,0,6,20,20,0,0,0,0,0,68350.0,0.3536,144350.0,227175.0,20,20,0.6035,5.0,,31481.0,1852,7396,8298,15650.0,,,,,,0,46,17,40,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7102,10,10,20,0,Result.Victory,1,1,clean,11185.0,154.6,6,4,10,0,4,20,19,0,1,0,0,0,56075.0,0.2901,127200.0,179500.0,20,20,0.5243,5.0,,30924.0,1870,7391,8275,11185.0,,,,,,0,55,26,38,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7103,10,10,20,0,Result.Victory,1,1,clean,10203.0,147.0,6,4,10,0,4,20,17,0,3,0,0,0,49250.0,0.2548,125750.0,165925.0,20,20,0.3237,4.8,,28250.0,1865,7375,8326,10203.0,,,,,,0,36,7,39,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7104,10,10,20,0,Result.Victory,1,1,clean,12826.0,157.9,4,6,10,0,6,20,19,0,1,0,0,0,63900.0,0.3306,132925.0,196650.0,20,20,0.6313,5.0,,30764.0,1858,7385,8316,12826.0,,,,,,0,43,14,39,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7105,10,10,20,0,Result.Victory,1,1,clean,12688.0,161.6,7,3,10,0,3,20,18,0,2,0,0,0,63825.0,0.3302,137350.0,208450.0,20,20,0.653,5.0,,34464.0,1857,7395,8298,12688.0,,,,,,0,46,17,39,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7106,10,10,20,0,Result.Victory,1,1,clean,13208.0,159.7,6,4,10,0,4,20,20,0,0,0,0,0,62175.0,0.3216,146750.0,211450.0,20,20,0.1743,5.0,,28905.0,1865,7367,8319,13208.0,,,,,,0,38,9,40,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7107,10,10,20,0,Result.Victory,1,0,C_breakthrough,24895.0,253.4,2,8,0,10,18,19,20,0,1,1,0,0,119300.0,0.6172,135325.0,437450.0,20,19,0.5638,5.0,,27967.0,1864,7402,8295,24895.0,,,,,,3,37,8,38,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7108,10,10,20,0,Result.Victory,1,1,clean,11729.0,149.8,7,3,10,0,3,20,19,0,1,0,0,0,65025.0,0.3364,135425.0,193750.0,20,20,0.5959,4.9,,29887.0,1858,7404,8324,11729.0,,,,,,0,45,16,39,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7109,10,10,20,0,Result.Victory,1,1,clean,16904.0,173.8,2,8,10,0,8,20,20,0,0,0,0,0,73450.0,0.38,138725.0,231400.0,20,20,0.6782,5.0,,34268.0,1857,7397,8278,16904.0,,,,,,3,39,9,40,0,0,0,0,0,0
AUTO_0001_FRESH_B0,S2,S2,B0_RANDOM,7110,10,10,20,0,Result.Victory,1,1,clean,12365.0,161.1,7,3,10,0,3,20,20,0,0,0,0,0,68875.0,0.3563,141025.0,212950.0,20,20,0.4732,5.0,,33060.0,1858,7385,8282,12365.0,,,,,,0,51,21,40,0,0,0,0,0,0
