experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7101,10,10,20,0,Result.Defeat,0,0,C_breakthrough,30192.0,304.5,7,3,0,10,13,16,16,3,0,1,0,0,123100.0,0.6368,199625.0,526725.0,20,16,0.3259,4.2,,32274.0,1858,7405,8310,30192.0,,,,,,6,40,14,32,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7102,10,10,20,0,Result.Victory,1,1,clean,42940.0,433.1,4,6,0,10,16,20,20,0,0,0,0,0,91225.0,0.4719,170525.0,422425.0,20,16,0.3325,4.2,,36049.0,1872,7399,8313,42940.0,,,,,,2,37,11,32,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7103,10,10,20,0,Result.Victory,1,1,clean,42450.0,428.3,5,5,0,10,15,20,20,0,0,0,0,0,103550.0,0.5357,202425.0,446850.0,20,16,0.313,4.2,,35643.0,1862,7396,8631,42450.0,,,,,,2,35,9,32,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7104,10,10,20,0,Result.Victory,1,1,clean,24158.0,243.7,6,4,10,0,4,20,19,0,1,0,0,0,90750.0,0.4695,228525.0,371950.0,20,20,0.7142,4.5,,50238.0,1860,7386,8352,24158.0,,,,,,4,40,11,38,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7105,10,10,20,0,Result.Victory,1,1,clean,16143.0,173.3,5,5,10,0,5,20,19,0,1,0,0,0,69900.0,0.3616,165175.0,267500.0,20,20,0.577,4.8,,33233.0,1866,7377,8648,16143.0,,,,,,0,46,17,38,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7106,10,10,20,0,Result.Victory,1,1,clean,21683.0,220.3,8,2,10,0,2,20,20,0,0,0,0,0,83700.0,0.433,249475.0,385825.0,20,20,1.0098,4.9,,58640.0,1863,7386,8354,21683.0,,,,,,0,40,11,40,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7107,10,10,20,0,Result.Defeat,0,0,C_breakthrough,31731.0,320.1,8,2,0,10,12,16,16,3,0,1,0,0,129775.0,0.6714,206400.0,527850.0,20,16,0.254,4.2,,30453.0,1854,7370,8339,31731.0,,,,,,6,40,14,32,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7108,10,10,20,0,Result.Victory,1,1,clean,18815.0,189.8,5,5,10,0,5,20,19,0,1,0,0,0,59125.0,0.3059,179825.0,271400.0,20,20,0.6013,4.6,,34938.0,1848,7397,8616,18815.0,,,,,,0,42,13,38,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7109,10,10,20,0,Result.Victory,1,0,C_breakthrough,40316.0,409.8,8,2,0,10,12,19,20,0,1,1,0,0,133375.0,0.69,221200.0,476300.0,19,16,0.1957,4.1,,27517.0,1869,7382,8328,40316.0,,,,,,4,41,15,32,0,0,0,0,0,0
AUTO_0001_FRESH,S2,S2,AUTO_FEINT_SWITCH,7110,10,10,20,0,Result.Victory,1,1,clean,16605.0,173.2,6,4,10,0,4,20,19,0,1,0,0,0,68175.0,0.3527,177225.0,275275.0,20,20,0.5971,4.8,,36165.0,1864,7411,8645,16605.0,,,,,,0,38,9,39,0,0,0,0,0,0
