seed,engine_result,clean_result,enemy_usv_kills,friendly_usv_losses,friendly_uav_losses,black_breakthrough,first_detection_time,first_lock_time,first_kill_time,LLM_calls,LLM_parse_failures,LLM_avg_latency,commander_source,commander_changes,commander_no_change,commander_policy_failures,commander_api_failures,sim_time,wall_clock_time,notes
201,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1549.0,7390.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9621.0,252.0,
202,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1562.0,7375.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,8939.0,180.6,
203,Result.Defeat,clean_defeat,4.0,5.0,5.0,0.0,1554.0,7382.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,25173.0,507.6,
204,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1554.0,7364.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9857.0,251.3,
205,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1545.0,7405.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9440.0,239.5,
206,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1559.0,7411.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10321.0,254.4,
207,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1552.0,7401.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9640.0,250.1,
208,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1567.0,7393.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10102.0,212.8,
209,Result.Victory,quirk_victory,5.0,5.0,0.0,1.0,1554.0,7381.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,23827.0,480.0,
210,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1556.0,7373.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10079.0,203.7,
211,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1557.0,7413.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9961.0,201.1,
212,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1569.0,7378.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9275.0,186.9,
213,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1547.0,7407.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9057.0,183.9,
214,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1554.0,7383.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9263.0,188.7,
215,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1556.0,7378.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10096.0,205.5,
216,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1550.0,7380.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9363.0,190.4,
217,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1550.0,7379.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10110.0,204.4,
218,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1548.0,7381.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,8993.0,181.7,
219,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1563.0,7401.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,9484.0,191.6,
220,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1568.0,7410.0,,0.0,0.0,0.0,default_intent,0.0,0.0,0.0,0.0,10249.0,206.8,
