seed,engine_result,clean_result,enemy_usv_kills,friendly_usv_losses,friendly_uav_losses,black_breakthrough,first_detection_time,first_lock_time,first_kill_time,LLM_calls,LLM_parse_failures,LLM_avg_latency,commander_source,commander_changes,commander_no_change,commander_policy_failures,commander_api_failures,sim_time,wall_clock_time,notes
201,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1562.0,7391.0,,14.0,0.0,2.3,deepseek,13.0,1.0,0.0,0.0,9877.0,259.1,
202,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1553.0,7415.0,,12.0,0.0,2.2,deepseek,9.0,3.0,0.0,0.0,8974.0,256.4,
203,Result.Defeat,clean_defeat,4.0,5.0,5.0,0.0,1561.0,7376.0,,17.0,0.0,2.0,deepseek,14.0,3.0,0.0,0.0,25150.0,505.7,
204,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1549.0,7384.0,,13.0,0.0,2.3,deepseek,12.0,1.0,0.0,0.0,9580.0,194.2,
205,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1546.0,7447.0,,12.0,0.0,2.1,deepseek,9.0,3.0,0.0,0.0,9244.0,186.4,
206,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1567.0,7376.0,,15.0,0.0,2.4,deepseek,13.0,2.0,0.0,0.0,10079.0,206.5,
207,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1563.0,7498.0,,13.0,0.0,2.2,deepseek,13.0,0.0,0.0,0.0,9660.0,254.2,
208,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1558.0,7375.0,,6.0,0.0,2.2,deepseek,5.0,1.0,0.0,0.0,8998.0,252.1,
209,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1546.0,7390.0,,4.0,0.0,62.4,deepseek,4.0,0.0,0.0,0.0,10661.0,265.0,
210,Result.Victory,quirk_victory,5.0,5.0,0.0,1.0,1563.0,7398.0,,19.0,0.0,2.4,deepseek,17.0,2.0,0.0,0.0,23153.0,465.4,
211,Result.Victory,clean_victory,5.0,3.0,0.0,0.0,1551.0,7383.0,,10.0,0.0,2.1,deepseek,10.0,0.0,1.0,0.0,9099.0,183.9,
212,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1553.0,7386.0,,12.0,0.0,2.0,deepseek,9.0,3.0,0.0,0.0,9437.0,191.5,
213,Result.Victory,clean_victory,5.0,2.0,0.0,0.0,1551.0,7383.0,,9.0,0.0,2.1,deepseek,8.0,1.0,0.0,0.0,8429.0,236.0,
214,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1564.0,7385.0,,13.0,0.0,2.0,deepseek,12.0,1.0,0.0,0.0,9682.0,253.5,
215,Result.Victory,quirk_victory,5.0,5.0,0.0,1.0,1546.0,7453.0,,17.0,0.0,2.0,deepseek,13.0,4.0,0.0,0.0,23547.0,473.4,
216,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1549.0,7367.0,,6.0,0.0,2.2,deepseek,5.0,1.0,0.0,0.0,9758.0,197.0,
217,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1545.0,7374.0,,14.0,0.0,2.9,deepseek,14.0,0.0,0.0,0.0,9989.0,263.8,
218,Result.Victory,clean_victory,5.0,1.0,0.0,0.0,1550.0,7387.0,,11.0,0.0,2.3,deepseek,11.0,0.0,0.0,0.0,8904.0,231.9,
219,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1556.0,7398.0,,13.0,0.0,2.3,deepseek,12.0,1.0,0.0,0.0,9686.0,260.7,
220,Result.Victory,clean_victory,5.0,0.0,0.0,0.0,1557.0,7385.0,,13.0,0.0,2.2,deepseek,13.0,0.0,0.0,0.0,9870.0,260.7,
