scenario_scale,game,white_usv,white_uav,black_usv,black_uav,result,simulation_time,wall_clock_time,enemy_kills,friendly_usv_losses,friendly_uav_losses,first_detection_time,first_lock_time,max_known_tracks,max_simultaneous_engagements,LLM_calls,LLM_parse_failures,avg_LLM_latency,avg_focus_level,avg_reserve_ratio,intent_changes,notes
scenario_10v10,1,5,5,5,5,Result.Defeat,10989.0,222.0,4.0,5.0,5,1546.0,7355.0,10,4,19.0,0.0,1.7,2.0,0.166,13,
scenario_10v10,2,5,5,5,5,Result.Defeat,11221.0,226.7,3.0,5.0,5,1553.0,7384.0,10,4,19.0,0.0,1.8,2.07,0.216,17,
scenario_10v10,3,5,5,5,5,Result.Defeat,10852.0,219.4,3.0,5.0,5,1543.0,7412.0,10,4,18.0,0.0,1.8,2.04,0.231,16,
scenario_10v10,4,5,5,5,5,Result.Defeat,10769.0,217.6,4.0,5.0,5,1543.0,7401.0,10,4,18.0,0.0,1.9,2.0,0.162,16,
scenario_10v10,5,5,5,5,5,Result.Defeat,10778.0,217.7,1.0,5.0,5,1551.0,7352.0,10,4,18.0,0.0,1.9,2.04,0.173,14,
scenario_10v10,6,5,5,5,5,Result.Victory,8626.0,175.6,5.0,5.0,0,1549.0,7359.0,10,4,15.0,0.0,2.0,2.15,0.117,14,
scenario_10v10,7,5,5,5,5,Result.Defeat,11164.0,227.3,3.0,5.0,5,1545.0,7378.0,10,3,19.0,0.0,2.1,2.0,0.227,16,
scenario_10v10,8,5,5,5,5,Result.Victory,8982.0,181.6,5.0,4.0,0,1553.0,7381.0,10,4,15.0,0.0,1.9,2.04,0.146,14,
scenario_10v10,9,5,5,5,5,Result.Victory,8655.0,176.2,5.0,4.0,0,1554.0,7354.0,10,4,15.0,0.0,1.8,2.0,0.199,13,
scenario_10v10,10,5,5,5,5,Result.Defeat,10701.0,217.6,4.0,5.0,5,1548.0,7385.0,10,3,18.0,0.0,1.8,2.0,0.121,16,
scenario_15v15,1,8,7,8,7,Result.Victory,12291.0,248.5,8.0,6.0,0,1560.0,7360.0,15,4,20.0,0.0,1.7,2.0,0.177,17,
scenario_15v15,2,8,7,8,7,Result.Defeat,11998.0,242.7,7.0,8.0,7,1561.0,7417.0,15,6,20.0,0.0,1.8,2.08,0.095,18,
scenario_15v15,3,8,7,8,7,Result.Defeat,11441.0,231.3,7.0,8.0,7,1557.0,7380.0,15,5,19.0,0.0,1.7,2.0,0.161,18,
scenario_15v15,4,8,7,8,7,Result.Victory,12476.0,252.1,8.0,6.0,0,1548.0,7393.0,15,3,21.0,0.0,1.7,2.0,0.125,18,
scenario_15v15,5,8,7,8,7,Result.Victory,9679.0,197.3,8.0,6.0,0,1555.0,7354.0,15,4,16.0,0.0,2.1,2.0,0.203,15,
scenario_15v15,6,8,7,8,7,Result.Victory,16940.0,345.2,8.0,7.0,0,1546.0,7406.0,15,3,28.0,0.0,2.1,2.03,0.119,25,
scenario_15v15,7,8,7,8,7,Result.Defeat,11432.0,231.2,6.0,8.0,7,1550.0,7393.0,15,4,19.0,0.0,1.9,2.05,0.144,18,
scenario_15v15,8,8,7,8,7,Result.Defeat,13161.0,266.0,7.0,8.0,7,1555.0,7364.0,15,5,22.0,0.0,1.7,2.0,0.084,22,
scenario_15v15,9,8,7,8,7,Result.Victory,15853.0,320.4,8.0,7.0,0,1550.0,7354.0,15,4,26.0,0.0,1.7,2.0,0.104,24,
scenario_15v15,10,8,7,8,7,Result.Victory,12927.0,261.3,8.0,7.0,0,1553.0,7371.0,15,4,22.0,0.0,1.7,2.1,0.13,21,
scenario_20v20,1,10,10,10,10,Result.Defeat,17921.0,365.2,9.0,10.0,10,1567.0,7372.0,20,5,30.0,0.0,1.8,2.0,0.124,29,
scenario_20v20,2,10,10,10,10,Result.Victory,11327.0,228.5,10.0,7.0,0,1568.0,7394.0,20,4,19.0,0.0,1.9,2.0,0.149,18,
scenario_20v20,3,10,10,10,10,Result.Defeat,11149.0,226.7,6.0,10.0,10,1559.0,7406.0,20,6,19.0,0.0,1.9,2.0,0.198,17,
scenario_20v20,4,10,10,10,10,Result.Defeat,13490.0,274.8,8.0,10.0,10,1569.0,7372.0,20,3,23.0,0.0,1.7,2.05,0.084,19,
scenario_20v20,5,10,10,10,10,Result.Defeat,14151.0,288.2,8.0,10.0,10,1574.0,7415.0,20,6,24.0,0.0,1.9,2.0,0.109,19,
scenario_20v20,6,10,10,10,10,Result.Victory,11971.0,243.5,10.0,9.0,0,1576.0,7392.0,20,6,20.0,0.0,2.0,2.0,0.131,18,
scenario_20v20,7,10,10,10,10,Result.Victory,20208.0,408.2,10.0,9.0,0,1553.0,7479.0,20,4,33.0,0.0,2.0,2.0,0.084,29,
scenario_20v20,8,10,10,10,10,Result.Defeat,12213.0,246.8,6.0,10.0,10,1572.0,7409.0,20,6,20.0,0.0,2.0,2.0,0.102,17,
scenario_20v20,9,10,10,10,10,Result.Victory,21002.0,427.8,10.0,10.0,6,1568.0,7417.0,20,3,35.0,0.0,1.8,2.0,0.17,33,
scenario_20v20,10,10,10,10,10,Result.Defeat,13611.0,275.2,9.0,10.0,10,1565.0,7440.0,20,4,23.0,0.0,2.0,2.04,0.134,20,
scenario_30v30,1,15,15,15,15,Result.Defeat,21164.0,426.9,14.0,13.0,0,1577.0,7385.0,30,7,34.0,0.0,1.9,2.03,0.104,32,
scenario_30v30,2,15,15,15,15,Result.Defeat,19354.0,390.2,13.0,15.0,15,1561.0,7380.0,29,6,31.0,0.0,2.1,2.0,0.135,26,
scenario_30v30,3,15,15,15,15,Result.Defeat,19077.0,384.7,13.0,15.0,15,1563.0,7393.0,29,7,31.0,0.0,2.0,2.0,0.078,26,
