scenario,seed,oob_multiplier,white_usv,white_uav,black_usv,black_uav,policy,engine_result,clean_result,friendly_usv_dead,friendly_uav_dead,friendly_total_dead,enemy_combat_killed,enemy_out_of_bounds,enemy_breakthrough,enemy_survived,enemy_unknown,enemy_total,explored_area_km2,exploration_ratio,sum_unit_explored_km2,sum_damage_hits,sum_kill_credit,black_hit_reward,agent_kill_count,commander_source,commander_calls,sim_time,wall_time,notes
S10,401,1.0,10,10,10,10,harness,Result.Victory,clean_victory,2,0,2,9,0,0,1,0,10,59150.0,0.306,324475.0,19,9,19,9,default_intent,0.0,9989.0,142.9,
S10,402,1.0,10,10,10,10,harness,Result.Victory,clean_victory,2,0,2,9,0,0,1,0,10,46725.0,0.2417,302025.0,19,9,19,8,default_intent,0.0,10526.0,130.2,
S10,403,1.0,10,10,10,10,harness,Result.Victory,clean_victory,7,0,7,10,0,0,0,0,10,56000.0,0.2897,326775.0,20,9,20,9,default_intent,0.0,11758.0,139.4,
S10,404,1.0,10,10,10,10,harness,Result.Victory,clean_victory,5,0,5,9,0,0,1,0,10,47750.0,0.247,295075.0,19,9,19,9,default_intent,0.0,10308.0,127.2,
S10,405,1.0,10,10,10,10,harness,Result.Victory,clean_victory,3,0,3,10,0,0,0,0,10,52075.0,0.2694,297050.0,20,10,20,8,default_intent,0.0,9410.0,129.1,
S10,406,1.0,10,10,10,10,harness,Result.Victory,clean_victory,2,0,2,10,0,0,0,0,10,47350.0,0.245,280075.0,20,10,20,6,default_intent,0.0,9029.0,122.1,
S10,407,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,8,0,0,2,0,10,46125.0,0.2386,285675.0,17,8,17,8,default_intent,0.0,9859.0,128.1,
S10,408,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,9,0,0,1,0,10,64375.0,0.333,337625.0,18,9,18,9,default_intent,0.0,11294.0,136.1,
S10,409,1.0,10,10,10,10,harness,Result.Victory,clean_victory,3,0,3,9,0,0,1,0,10,58125.0,0.3007,306950.0,18,9,18,9,default_intent,0.0,9734.0,129.7,
S10,410,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,10,0,0,0,0,10,55200.0,0.2856,308000.0,20,9,20,9,default_intent,0.0,9518.0,122.3,
S10,411,1.0,10,10,10,10,harness,Result.Victory,clean_victory,3,0,3,9,0,0,1,0,10,49000.0,0.2535,291025.0,18,9,18,9,default_intent,0.0,10227.0,124.2,
S10,412,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,9,0,0,1,0,10,52725.0,0.2728,304675.0,19,9,19,9,default_intent,0.0,9939.0,130.2,
S10,413,1.0,10,10,10,10,harness,Result.Victory,clean_victory,4,0,4,10,0,0,0,0,10,47050.0,0.2434,281700.0,20,10,20,7,default_intent,0.0,9275.0,123.4,
S10,414,1.0,10,10,10,10,harness,Result.Victory,clean_victory,1,0,1,9,0,0,1,0,10,51875.0,0.2684,299450.0,18,9,18,9,default_intent,0.0,10116.0,131.9,
S10,415,1.0,10,10,10,10,harness,Result.Victory,clean_victory,2,0,2,10,0,0,0,0,10,62600.0,0.3238,318025.0,20,8,20,9,default_intent,0.0,10274.0,132.2,
S10,416,1.0,10,10,10,10,harness,Result.Victory,clean_victory,6,0,6,10,0,0,0,0,10,53225.0,0.2753,302575.0,20,10,20,7,default_intent,0.0,9301.0,125.8,
S10,417,1.0,10,10,10,10,harness,Result.Victory,clean_victory,1,0,1,10,0,0,0,0,10,59525.0,0.3079,381250.0,20,9,20,9,default_intent,0.0,12523.0,134.8,
S10,418,1.0,10,10,10,10,harness,Result.Victory,clean_victory,4,0,4,9,0,0,1,0,10,77450.0,0.4007,414600.0,19,9,19,9,default_intent,0.0,15346.0,154.9,
S10,419,1.0,10,10,10,10,harness,Result.Victory,clean_victory,1,0,1,10,0,0,0,0,10,109125.0,0.5645,503000.0,20,10,20,9,default_intent,0.0,16957.0,172.2,
S10,420,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,9,0,0,1,0,10,46900.0,0.2426,299075.0,19,9,19,9,default_intent,0.0,9857.0,122.8,
S10,421,1.0,10,10,10,10,harness,Result.Victory,clean_victory,1,0,1,9,0,0,1,0,10,66875.0,0.346,349650.0,19,9,19,9,default_intent,0.0,12142.0,133.4,
S10,422,1.0,10,10,10,10,harness,Result.Victory,clean_victory,2,0,2,8,0,0,2,0,10,51250.0,0.2651,295350.0,17,8,17,9,default_intent,0.0,9457.0,121.2,
S10,423,1.0,10,10,10,10,harness,Result.Victory,clean_victory,3,0,3,10,0,0,0,0,10,54100.0,0.2799,304225.0,20,10,20,8,default_intent,0.0,9434.0,127.6,
S10,424,1.0,10,10,10,10,harness,Result.Victory,clean_victory,0,0,0,10,0,0,0,0,10,67650.0,0.35,425350.0,20,10,20,9,default_intent,0.0,13750.0,150.2,
