scenario,seed,policy,unit,unit_type,explored_area_km2,first_coverage_area_km2,damage_hits,kill_credit,targets_damaged,alive,death_time,death_cause
A,301,harness,white_usv2,USV,16050.0,950.0,8,1,5,True,,
A,301,harness,white_usv3,USV,13050.0,125.0,2,0,2,False,8383,unknown
A,301,harness,white_usv4,USV,12800.0,475.0,1,1,2,False,8303,unknown
A,301,harness,white_usv1,USV,16325.0,1525.0,5,4,6,True,,
A,301,harness,white_usv5,USV,16225.0,1525.0,0,2,2,True,,
A,301,harness,white_uav5,UAV,67025.0,27700.0,0,0,0,True,,
A,301,harness,white_uav2,UAV,64025.0,14750.0,0,0,0,True,,
A,301,harness,white_uav3,UAV,61350.0,22900.0,0,0,0,True,,
A,301,harness,white_uav1,UAV,62950.0,14800.0,0,0,0,True,,
A,301,harness,white_uav4,UAV,66900.0,32900.0,0,0,0,True,,
L5_15,301,harness,white_usv1,USV,12800.0,2350.0,4,1,3,False,8614,unknown
L5_15,301,harness,white_usv3,USV,13800.0,275.0,7,2,6,True,,
L5_15,301,harness,white_usv5,USV,13425.0,1975.0,2,1,2,True,,
L5_15,301,harness,white_usv2,USV,12675.0,0.0,0,0,3,False,8218,unknown
L5_15,301,harness,white_usv4,USV,13725.0,0.0,3,4,4,True,,
L5_15,301,harness,white_uav1,UAV,23900.0,9625.0,0,0,0,True,,
L5_15,301,harness,white_uav3,UAV,21525.0,11925.0,0,0,0,True,,
L5_15,301,harness,white_uav4,UAV,24225.0,8075.0,0,0,0,True,,
L5_15,301,harness,white_uav2,UAV,20900.0,7325.0,0,0,0,True,,
L5_15,301,harness,white_uav5,UAV,23325.0,10500.0,0,0,0,True,,
L5_15,302,harness,white_usv4,USV,17325.0,975.0,4,0,4,True,,
L5_15,302,harness,white_usv5,USV,14725.0,1650.0,5,1,3,True,,
L5_15,302,harness,white_usv2,USV,16575.0,600.0,5,0,3,True,,
L5_15,302,harness,white_usv1,USV,15550.0,1600.0,1,4,4,True,,
L5_15,302,harness,white_usv3,USV,16025.0,0.0,1,3,3,True,,
L5_15,302,harness,white_uav4,UAV,28325.0,15650.0,0,0,0,True,,
L5_15,302,harness,white_uav3,UAV,23525.0,10150.0,0,0,0,True,,
L5_15,302,harness,white_uav5,UAV,33950.0,21975.0,0,0,0,True,,
L5_15,302,harness,white_uav1,UAV,27875.0,16025.0,0,0,0,True,,
L5_15,302,harness,white_uav2,UAV,22650.0,10625.0,0,0,0,True,,
L5_15,303,harness,white_usv3,USV,13125.0,550.0,3,1,4,True,,
L5_15,303,harness,white_usv5,USV,13100.0,2100.0,7,0,3,True,,
L5_15,303,harness,white_usv1,USV,13575.0,2000.0,0,4,4,True,,
L5_15,303,harness,white_usv2,USV,12575.0,0.0,5,2,3,True,,
L5_15,303,harness,white_usv4,USV,13575.0,0.0,1,1,3,False,8632,unknown
L5_15,303,harness,white_uav4,UAV,23825.0,15100.0,0,0,0,True,,
L5_15,303,harness,white_uav5,UAV,26525.0,9400.0,0,0,0,True,,
L5_15,303,harness,white_uav1,UAV,23025.0,11200.0,0,0,0,True,,
L5_15,303,harness,white_uav3,UAV,18875.0,7175.0,0,0,0,True,,
L5_15,303,harness,white_uav2,UAV,20925.0,7375.0,0,0,0,True,,
L5_15,304,harness,white_usv1,USV,13150.0,2325.0,3,1,3,False,8780,unknown
L5_15,304,harness,white_usv3,USV,13175.0,250.0,8,0,5,True,,
L5_15,304,harness,white_usv5,USV,13275.0,1975.0,2,1,4,True,,
L5_15,304,harness,white_usv2,USV,13100.0,0.0,1,2,4,True,,
L5_15,304,harness,white_usv4,USV,12925.0,0.0,2,4,5,True,,
L5_15,304,harness,white_uav1,UAV,24675.0,10400.0,0,0,0,True,,
L5_15,304,harness,white_uav3,UAV,15200.0,11250.0,0,0,0,True,,
L5_15,304,harness,white_uav4,UAV,24050.0,8525.0,0,0,0,True,,
L5_15,304,harness,white_uav2,UAV,20700.0,6800.0,0,0,0,True,,
L5_15,304,harness,white_uav5,UAV,23975.0,10700.0,0,0,0,True,,
L5_15,305,harness,white_usv1,USV,12925.0,2325.0,3,3,4,True,,
L5_15,305,harness,white_usv4,USV,13675.0,700.0,6,0,3,True,,
L5_15,305,harness,white_usv3,USV,12900.0,0.0,1,2,4,False,9249,unknown
L5_15,305,harness,white_usv5,USV,13750.0,1575.0,3,2,2,True,,
L5_15,305,harness,white_usv2,USV,13500.0,0.0,2,1,3,True,,
L5_15,305,harness,white_uav2,UAV,22325.0,12450.0,0,0,0,True,,
L5_15,305,harness,white_uav1,UAV,24725.0,10075.0,0,0,0,True,,
L5_15,305,harness,white_uav4,UAV,23700.0,10725.0,0,0,0,True,,
L5_15,305,harness,white_uav5,UAV,25800.0,12350.0,0,0,0,True,,
L5_15,305,harness,white_uav3,UAV,18425.0,5825.0,0,0,0,True,,
L5_20,301,harness,white_usv2,USV,13075.0,800.0,11,2,5,False,10612,unknown
L5_20,301,harness,white_usv4,USV,13050.0,550.0,2,0,3,False,8964,unknown
L5_20,301,harness,white_usv3,USV,12875.0,0.0,0,1,4,False,9598,unknown
L5_20,301,harness,white_usv1,USV,12650.0,1600.0,2,1,2,False,8646,unknown
L5_20,301,harness,white_usv5,USV,13050.0,1550.0,0,3,6,False,9520,unknown
L5_20,301,harness,white_uav4,UAV,30250.0,12675.0,0,0,0,True,,
L5_20,301,harness,white_uav1,UAV,34525.0,9900.0,0,0,0,True,,
L5_20,301,harness,white_uav3,UAV,23500.0,7500.0,0,0,0,True,,
L5_20,301,harness,white_uav2,UAV,31025.0,8025.0,0,0,0,True,,
L5_20,301,harness,white_uav5,UAV,25675.0,9475.0,0,0,0,True,,
L5_20,302,harness,white_usv2,USV,16250.0,850.0,7,0,2,True,,
L5_20,302,harness,white_usv1,USV,15850.0,1600.0,6,4,4,True,,
L5_20,302,harness,white_usv3,USV,17575.0,125.0,2,1,4,True,,
L5_20,302,harness,white_usv5,USV,15975.0,2000.0,2,3,3,True,,
L5_20,302,harness,white_usv4,USV,13200.0,0.0,3,2,3,False,9989,unknown
L5_20,302,harness,white_uav2,UAV,35675.0,17225.0,0,0,0,True,,
L5_20,302,harness,white_uav1,UAV,30900.0,16950.0,0,0,0,True,,
L5_20,302,harness,white_uav3,UAV,25975.0,7875.0,0,0,0,True,,
L5_20,302,harness,white_uav4,UAV,29725.0,8550.0,0,0,0,True,,
L5_20,302,harness,white_uav5,UAV,35325.0,11000.0,0,0,0,True,,
L5_20,303,harness,white_usv1,USV,17475.0,2300.0,5,4,7,True,,
L5_20,303,harness,white_usv2,USV,17900.0,125.0,3,4,5,True,,
L5_20,303,harness,white_usv4,USV,12550.0,550.0,7,0,2,False,8144,unknown
L5_20,303,harness,white_usv5,USV,12575.0,1600.0,4,0,3,False,8298,unknown
L5_20,303,harness,white_usv3,USV,12525.0,0.0,1,2,3,False,8298,unknown
L5_20,303,harness,white_uav5,UAV,61175.0,28600.0,0,0,0,True,,
L5_20,303,harness,white_uav2,UAV,51675.0,12550.0,0,0,0,True,,
L5_20,303,harness,white_uav3,UAV,51025.0,14750.0,0,0,0,True,,
L5_20,303,harness,white_uav1,UAV,58050.0,18525.0,0,0,0,True,,
L5_20,303,harness,white_uav4,UAV,65325.0,34275.0,0,0,0,True,,
L5_20,304,harness,white_usv1,USV,12950.0,2250.0,2,1,3,False,8576,unknown
L5_20,304,harness,white_usv2,USV,13200.0,125.0,10,3,5,False,10313,unknown
L5_20,304,harness,white_usv3,USV,13125.0,125.0,2,1,4,False,9529,unknown
L5_20,304,harness,white_usv4,USV,12575.0,425.0,2,2,3,False,8576,unknown
L5_20,304,harness,white_usv5,USV,12975.0,1500.0,1,1,2,False,8259,unknown
L5_20,304,harness,white_uav5,UAV,29550.0,12650.0,0,0,0,True,,
L5_20,304,harness,white_uav3,UAV,24075.0,12025.0,0,0,0,True,,
L5_20,304,harness,white_uav1,UAV,33325.0,8950.0,0,0,0,True,,
L5_20,304,harness,white_uav4,UAV,27775.0,9425.0,0,0,0,True,,
L5_20,304,harness,white_uav2,UAV,30375.0,6575.0,0,0,0,True,,
L5_20,305,harness,white_usv5,USV,12625.0,2200.0,4,1,3,False,9453,unknown
L5_20,305,harness,white_usv2,USV,12825.0,650.0,10,1,7,True,,
L5_20,305,harness,white_usv1,USV,13150.0,1550.0,5,4,6,True,,
