scenario_id,seed,white_usv,white_uav,black_usv,black_uav,policy_mode,engine_result,clean_result,black_breakthrough_count,enemy_usv_kills,enemy_uav_losses,friendly_usv_losses,friendly_uav_losses,enemy_usv_kill_ratio,friendly_usv_survival_ratio,exchange_ratio,first_detection_time,first_lock_time,first_kill_time,max_known_tracks,max_threat_clusters,reacquire_attempts,reacquire_success,global_reacquire_entries,global_reacquire_success,coverage_quality_avg,coverage_collapse_events,low_confidence_commitments,sensor_assisted_locks,standoff_engagements,commander_triggers,commander_calls,commander_changes,commander_no_change,commander_source,api_failures,parse_failures,policy_failures,avg_llm_latency,sim_time,wall_time,notes
B,401,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,1.0,0.0,1.00,0.90,10.00,1554.0,7456.0,8418.0,20,1.0,72.0,72.0,0.0,0.0,N/A,1.0,0.0,29.0,N/A,16,16.0,16.0,0.0,deepseek,0.0,0.0,0.0,2.2,9914.0,134.0,
B,402,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,3.0,0.0,1.00,0.70,3.33,1571.0,7410.0,8313.0,20,1.0,47.0,47.0,0.0,0.0,N/A,1.0,0.0,22.0,N/A,15,14.0,14.0,0.0,deepseek,0.0,0.0,0.0,2.2,9648.0,130.5,
B,403,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,0.0,0.0,1.00,1.00,N/A,1566.0,7392.0,8321.0,20,1.0,23.0,23.0,0.0,0.0,N/A,1.0,0.0,30.0,N/A,16,15.0,13.0,2.0,deepseek,0.0,0.0,0.0,2.2,9919.0,128.7,
B,404,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,3.0,0.0,1.00,0.70,3.33,1575.0,7410.0,8337.0,20,1.0,28.0,28.0,0.0,0.0,N/A,1.0,0.0,24.0,N/A,15,14.0,10.0,4.0,deepseek,0.0,0.0,0.0,2.2,9758.0,128.6,
B,405,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,4.0,0.0,1.00,0.60,2.50,1566.0,7387.0,8361.0,20,1.0,91.0,91.0,0.0,0.0,N/A,1.0,0.0,33.0,N/A,16,16.0,14.0,2.0,deepseek,0.0,0.0,0.0,2.3,10224.0,132.5,
B,406,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,2.0,0.0,1.00,0.80,5.00,1554.0,7422.0,8343.0,20,1.0,65.0,65.0,0.0,0.0,N/A,1.0,0.0,20.0,N/A,14,14.0,12.0,2.0,deepseek,0.0,0.0,0.0,2.2,9021.0,121.7,
B,407,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,4.0,0.0,1.00,0.60,2.50,1579.0,7403.0,8307.0,20,1.0,42.0,42.0,0.0,0.0,N/A,1.0,0.0,24.0,N/A,15,14.0,13.0,1.0,deepseek,0.0,0.0,1.0,2.1,9479.0,124.6,
B,408,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,0.0,0.0,1.00,1.00,N/A,1559.0,7403.0,8335.0,20,1.0,22.0,22.0,2.0,2.0,N/A,1.0,0.0,33.0,N/A,21,20.0,18.0,2.0,deepseek,0.0,0.0,4.0,2.1,16988.0,171.4,
B,409,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,0.0,0.0,1.00,1.00,N/A,1558.0,7389.0,8301.0,20,1.0,163.0,163.0,0.0,0.0,N/A,1.0,0.0,28.0,N/A,15,14.0,12.0,2.0,deepseek,0.0,0.0,0.0,2.1,9454.0,130.5,
B,410,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,4.0,0.0,1.00,0.60,2.50,1578.0,7394.0,8331.0,20,1.0,10.0,10.0,0.0,0.0,N/A,1.0,0.0,26.0,N/A,14,13.0,12.0,1.0,deepseek,0.0,0.0,0.0,2.3,9822.0,128.6,
B,411,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,5.0,0.0,1.00,0.50,2.00,1571.0,7385.0,8309.0,20,1.0,104.0,104.0,0.0,0.0,N/A,1.0,0.0,29.0,N/A,17,16.0,15.0,1.0,deepseek,0.0,0.0,0.0,2.2,10768.0,132.5,
B,412,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,6.0,0.0,1.00,0.40,1.67,1562.0,7382.0,8338.0,20,1.0,92.0,92.0,0.0,0.0,N/A,1.0,0.0,28.0,N/A,16,16.0,16.0,0.0,deepseek,0.0,0.0,0.0,2.1,10752.0,130.3,
B,413,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,3.0,0.0,1.00,0.70,3.33,1561.0,7412.0,8343.0,20,1.0,29.0,29.0,0.0,0.0,N/A,1.0,0.0,23.0,N/A,14,13.0,11.0,2.0,deepseek,0.0,0.0,1.0,2.0,9417.0,123.4,
B,414,10,10,10,10,deepseek,Result.Victory,clean_victory,0.0,10.0,N/A,1.0,0.0,1.00,0.90,10.00,1561.0,7413.0,8335.0,20,1.0,57.0,57.0,0.0,0.0,N/A,1.0,0.0,21.0,N/A,12,11.0,10.0,1.0,deepseek,0.0,0.0,0.0,2.0,9335.0,125.6,
