scenario,seed,harness_engine,harness_clean,deepseek_engine,deepseek_clean,paired_class
A,301,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,302,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,303,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,304,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,305,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,306,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,307,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,308,Result.Victory,clean_victory,Result.Victory,quirk_victory,harness_only
A,309,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,310,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,311,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,312,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,313,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,314,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,315,Result.Victory,quirk_victory,Result.Victory,clean_victory,deepseek_only
A,316,Result.Victory,clean_victory,Result.Victory,quirk_victory,harness_only
A,317,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,318,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,319,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
A,320,Result.Victory,clean_victory,Result.Victory,clean_victory,both_win
