composition,white_usv,white_uav,black_usv,black_uav,frontage,seed,engine_result,clean_result,enemy_usv_kills,friendly_usv_losses,friendly_uav_losses,black_breakthrough,first_detection_time,first_lock_time,first_kill_time,reacquire_attempts,reacquire_success,global_reacquire_entries,global_reacquire_success,coverage_collapse_events,active_clusters_max,sensor_assisted_locks,low_conf_commitments,commander_source,commander_calls,commander_changes,commander_policy_failures,commander_api_failures,LLM_avg_latency,sim_time,wall_clock_time,notes
custom,6,3,6,3,fixed_frontage,201,Result.Victory,clean_victory,6.0,0.0,0.0,0.0,1546.0,7452.0,8364.0,16.0,16.0,0.0,0.0,1.0,1.0,66.0,0.0,deepseek,13.0,13.0,0.0,0.0,2.1,9617.0,193.8,
custom,6,3,6,3,fixed_frontage,203,Result.Victory,quirk_victory,6.0,0.0,3.0,1.0,1549.0,7363.0,8279.0,59.0,58.0,4.0,3.0,1.0,1.0,76.0,0.0,deepseek,21.0,19.0,3.0,0.0,1.9,26257.0,528.0,
F5,8,3,8,3,fixed_frontage,201,Result.Victory,clean_victory,8.0,2.0,0.0,0.0,1549.0,7372.0,8271.0,60.0,60.0,0.0,0.0,1.0,1.0,87.0,0.0,deepseek,14.0,13.0,0.0,0.0,2.1,10090.0,203.6,
F5,8,3,8,3,fixed_frontage,203,Result.Victory,clean_victory,8.0,3.0,0.0,0.0,1551.0,7356.0,8259.0,30.0,30.0,0.0,0.0,1.0,1.0,143.0,0.0,deepseek,18.0,16.0,0.0,0.0,2.0,11483.0,233.1,
F8,11,9,11,9,fixed_frontage,201,Result.Victory,clean_victory,11.0,0.0,0.0,0.0,1552.0,7388.0,8284.0,66.0,66.0,0.0,0.0,1.0,1.0,42.0,0.0,deepseek,14.0,12.0,0.0,0.0,2.1,9409.0,189.9,
F8,11,9,11,9,fixed_frontage,203,Result.Victory,clean_victory,11.0,3.0,0.0,0.0,1559.0,7359.0,8275.0,16.0,16.0,7.0,7.0,1.0,1.0,88.0,0.0,deepseek,23.0,23.0,3.0,0.0,1.8,16851.0,339.8,
F10,13,10,13,10,fixed_frontage,201,Result.Victory,clean_victory,13.0,7.0,0.0,0.0,1551.0,7413.0,8294.0,37.0,37.0,0.0,0.0,1.0,1.0,73.0,0.0,deepseek,16.0,15.0,0.0,0.0,2.1,10155.0,205.9,
F10,13,10,13,10,fixed_frontage,203,Result.Victory,quirk_victory,13.0,3.0,10.0,1.0,1579.0,7391.0,8305.0,25.0,24.0,8.0,7.0,1.0,1.0,55.0,0.0,deepseek,30.0,27.0,11.0,0.0,2.7,26300.0,529.7,
F12,15,8,15,8,fixed_frontage,201,Result.Victory,clean_victory,15.0,6.0,0.0,0.0,1568.0,7383.0,8284.0,64.0,64.0,0.0,0.0,1.0,1.0,37.0,0.0,deepseek,14.0,13.0,0.0,0.0,2.8,9319.0,189.2,
F12,15,8,15,8,fixed_frontage,203,Result.Victory,quirk_victory,15.0,7.0,8.0,1.0,1553.0,7379.0,8265.0,201.0,200.0,5.0,4.0,1.0,1.0,50.0,0.0,deepseek,33.0,32.0,8.0,0.0,2.8,26122.0,529.8,
F6,9,6,9,6,fixed_frontage,201,Result.Victory,clean_victory,9.0,1.0,0.0,0.0,1553.0,7372.0,8270.0,21.0,21.0,0.0,0.0,1.0,1.0,48.0,0.0,deepseek,14.0,11.0,0.0,0.0,2.6,8979.0,181.3,
F6,9,6,9,6,fixed_frontage,203,Result.Victory,clean_victory,9.0,5.0,1.0,0.0,1553.0,7357.0,8251.0,94.0,94.0,6.0,6.0,1.0,1.0,110.0,0.0,deepseek,30.0,30.0,4.0,0.0,2.0,19796.0,399.0,
