composition,white_usv,white_uav,black_usv,black_uav,frontage,seed,engine_result,clean_result,enemy_usv_kills,friendly_usv_losses,friendly_uav_losses,black_breakthrough,first_detection_time,first_lock_time,first_kill_time,reacquire_attempts,reacquire_success,global_reacquire_entries,global_reacquire_success,coverage_collapse_events,active_clusters_max,sensor_assisted_locks,low_conf_commitments,commander_source,commander_calls,commander_changes,commander_policy_failures,commander_api_failures,LLM_avg_latency,sim_time,wall_clock_time,notes
F1,4,4,4,4,fixed_frontage,201,Result.Victory,clean_victory,4.0,0.0,0.0,0.0,1579.0,7417.0,8550.0,21.0,21.0,0.0,0.0,1.0,1.0,30.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10341.0,208.2,
F1,4,4,4,4,fixed_frontage,202,Result.Victory,clean_victory,4.0,0.0,0.0,0.0,1583.0,7409.0,8316.0,6.0,6.0,0.0,0.0,1.0,1.0,31.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9539.0,199.9,
F1,4,4,4,4,fixed_frontage,203,Result.Victory,quirk_victory,4.0,0.0,4.0,1.0,1584.0,7422.0,8318.0,16.0,15.0,7.0,6.0,1.0,1.0,30.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26256.0,528.3,
F2,6,3,6,3,fixed_frontage,201,Result.Victory,clean_victory,6.0,0.0,0.0,0.0,1547.0,7413.0,8346.0,47.0,47.0,0.0,0.0,1.0,1.0,40.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9055.0,215.3,
F2,6,3,6,3,fixed_frontage,202,Result.Victory,clean_victory,6.0,0.0,0.0,0.0,1550.0,7399.0,8330.0,40.0,40.0,0.0,0.0,1.0,1.0,35.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9903.0,229.5,
F2,6,3,6,3,fixed_frontage,203,Result.Victory,quirk_victory,6.0,0.0,3.0,1.0,1554.0,7383.0,8300.0,73.0,72.0,3.0,2.0,1.0,1.0,60.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26269.0,528.6,
F3,6,6,6,6,fixed_frontage,201,Result.Victory,clean_victory,6.0,2.0,0.0,0.0,1575.0,7381.0,8314.0,22.0,22.0,0.0,0.0,1.0,1.0,23.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,8890.0,180.0,
F3,6,6,6,6,fixed_frontage,202,Result.Victory,clean_victory,6.0,0.0,0.0,0.0,1573.0,7435.0,8353.0,53.0,53.0,0.0,0.0,1.0,1.0,47.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9420.0,190.3,
F3,6,6,6,6,fixed_frontage,203,Result.Victory,clean_victory,6.0,0.0,0.0,0.0,1556.0,7373.0,8286.0,37.0,37.0,1.0,1.0,1.0,1.0,66.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,12696.0,259.2,
F4,7,7,7,7,fixed_frontage,201,Result.Victory,clean_victory,7.0,4.0,0.0,0.0,1543.0,7373.0,8280.0,44.0,44.0,0.0,0.0,1.0,1.0,41.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10455.0,277.5,
F4,7,7,7,7,fixed_frontage,202,Result.Victory,clean_victory,7.0,1.0,0.0,0.0,1556.0,7386.0,8328.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9738.0,376.4,
F4,7,7,7,7,fixed_frontage,203,Result.Victory,clean_victory,7.0,2.0,1.0,0.0,1555.0,7377.0,8289.0,86.0,86.0,6.0,6.0,1.0,1.0,54.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,16693.0,468.9,
F5,8,3,8,3,fixed_frontage,201,Result.Victory,clean_victory,8.0,2.0,0.0,0.0,1552.0,7366.0,8271.0,77.0,77.0,1.0,1.0,1.0,1.0,44.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,12394.0,252.0,
F5,8,3,8,3,fixed_frontage,202,Result.Victory,clean_victory,8.0,2.0,0.0,0.0,1559.0,7387.0,8295.0,38.0,38.0,0.0,0.0,1.0,1.0,34.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,8929.0,180.5,
F5,8,3,8,3,fixed_frontage,203,Result.Victory,clean_victory,8.0,1.0,0.0,0.0,1556.0,7380.0,8288.0,83.0,83.0,0.0,0.0,1.0,1.0,62.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,13390.0,316.8,
F6,9,6,9,6,fixed_frontage,201,Result.Victory,clean_victory,9.0,1.0,0.0,0.0,1566.0,7382.0,8349.0,97.0,97.0,0.0,0.0,1.0,1.0,30.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10011.0,380.2,
F6,9,6,9,6,fixed_frontage,202,Result.Victory,clean_victory,9.0,4.0,0.0,0.0,1566.0,7401.0,8297.0,8.0,8.0,0.0,0.0,1.0,1.0,40.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10293.0,228.8,
F6,9,6,9,6,fixed_frontage,203,Result.Victory,clean_victory,9.0,1.0,0.0,0.0,1562.0,7383.0,8277.0,65.0,65.0,0.0,0.0,1.0,1.0,66.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,12838.0,259.8,
F7,10,3,10,3,fixed_frontage,201,Result.Victory,clean_victory,10.0,1.0,0.0,0.0,1560.0,7389.0,8296.0,108.0,108.0,0.0,0.0,1.0,1.0,51.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9727.0,197.2,
F7,10,3,10,3,fixed_frontage,202,Result.Victory,clean_victory,10.0,4.0,0.0,0.0,1557.0,7402.0,8328.0,33.0,33.0,0.0,0.0,1.0,1.0,61.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10680.0,339.1,
F7,10,3,10,3,fixed_frontage,203,Result.Victory,quirk_victory,10.0,3.0,3.0,1.0,1553.0,7396.0,8318.0,124.0,123.0,2.0,1.0,1.0,1.0,67.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26277.0,528.6,
F8,11,9,11,9,fixed_frontage,201,Result.Victory,clean_victory,11.0,3.0,0.0,0.0,1569.0,7372.0,8340.0,74.0,74.0,0.0,0.0,1.0,1.0,48.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10028.0,316.2,
F8,11,9,11,9,fixed_frontage,202,Result.Victory,clean_victory,11.0,2.0,0.0,0.0,1555.0,7377.0,8282.0,24.0,24.0,0.0,0.0,1.0,1.0,50.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,11111.0,573.3,
F8,11,9,11,9,fixed_frontage,203,Result.Victory,clean_victory,11.0,2.0,0.0,0.0,1573.0,7373.0,8293.0,31.0,31.0,8.0,8.0,1.0,1.0,41.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,18416.0,394.7,
